timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
1789158651.841941,-0.000350,-0.003857,0.001022,-0.021115,-0.006823,-0.015983,0.001785,-0.000299,-0.999998,0.000000,0.000000,0.000000,-0.024260,0.024170,0.424945,0.024086,-0.181101,-0.181101,-0.181101,-0.181276,0.054565,0.054739,0.054742,0.054565,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.087266,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.178336,-0.394786,-0.208782,-0.526905,0.519544,-0.178188,0.130698,0.111907,-0.366216,0.499831,-0.728552,0.374580
1789158651.855719,-0.000232,-0.004335,0.001073,-0.035096,-0.010685,-0.021576,0.003641,-0.000941,-0.999993,0.000000,0.000000,0.000000,-0.024260,0.024170,0.424945,0.024086,-0.181101,-0.181366,-0.181101,-0.181276,0.054565,0.054739,0.054816,0.054565,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.174533,-0.000000,-0.178336,-0.394786,-0.208782,-0.526905,0.519544,-0.178188,0.130698,0.111907,-0.366216,0.499831,-0.728552,0.374580,-0.042907,-0.679263,-0.294104,-0.495569,0.853860,-0.276634,0.393504,0.129580,-0.285611,0.512518,-1.087721,0.436889
1789158651.875671,-0.000012,-0.005119,0.001423,-0.042819,-0.016810,-0.013986,0.005427,-0.001983,-0.999983,0.000000,0.000000,0.000000,-0.024808,0.017074,0.424945,0.021689,-0.181101,-0.170130,-0.166879,-0.157746,0.054565,0.063231,0.039465,0.068309,-0.174533,-1.876229,-0.000000,-0.894481,0.000000,2.596178,2.879794,3.316126,0.000000,2.050762,-3.076143,1.548980,-0.042907,-0.679263,-0.294104,-0.495569,0.853860,-0.276634,0.393504,0.129580,-0.285611,0.512518,-1.087721,0.436889,0.302484,-0.954167,-0.371908,-0.057822,0.789978,-0.123916,0.506254,-0.028914,-0.320020,-0.075341,-1.215180,0.518336
1789158651.896065,0.001517,-0.005713,0.005526,-0.424051,0.424742,0.045270,-0.003843,-0.010360,-0.999939,0.000000,0.000000,0.000000,-0.025675,-0.029093,0.411931,-0.020093,-0.089079,-0.121375,-0.070474,-0.084380,-0.023206,0.102984,-0.129715,0.091806,0.239983,-2.748894,-0.916298,-1.461714,6.283186,1.570797,5.890487,4.319690,-4.101524,1.069014,-9.555678,1.178097,0.302484,-0.954167,-0.371908,-0.057822,0.789978,-0.123916,0.506254,-0.028914,-0.320020,-0.075341,-1.215180,0.518336,0.314803,-0.975305,-0.673289,0.033833,0.637148,0.362275,0.805262,0.695043,-0.552471,-0.441276,-1.716007,0.472196
1789158651.916247,0.004766,-0.005496,0.015949,-0.240293,0.753509,0.094538,-0.018573,-0.014926,-0.999716,0.000000,0.000000,0.000000,-0.012695,-0.085745,0.401846,-0.032116,0.041368,-0.083723,0.021235,-0.026299,-0.054826,0.080444,-0.238601,0.116150,1.308997,-3.032510,-0.196350,0.741765,5.955937,2.530728,3.687009,2.203479,-1.003565,-4.428773,-3.926991,1.003564,0.314803,-0.975305,-0.673289,0.033833,0.637148,0.362275,0.805262,0.695043,-0.552471,-0.441276,-1.716007,0.472196,0.199331,-0.952842,-0.605393,0.178196,0.701215,0.373785,0.490655,0.982141,-0.492206,-0.450322,-1.914144,0.497317
1789158651.936234,0.005998,-0.004930,0.016960,0.392075,0.393184,-0.024505,-0.025856,-0.006628,-0.999644,0.000000,0.000000,0.000000,0.010532,-0.129997,0.403153,-0.032250,0.128509,-0.026669,0.089990,0.032156,-0.072198,-0.021655,-0.322964,0.114923,1.614430,-2.050762,0.501782,0.632682,3.337943,4.101524,3.032510,2.334378,-1.919863,-5.890486,-6.632252,-0.436332,0.199331,-0.952842,-0.605393,0.178196,0.701215,0.373785,0.490655,0.982141,-0.492206,-0.450322,-1.914144,0.497317,0.241748,-1.102771,-0.620062,0.286157,0.575248,0.463566,0.414794,1.053680,-0.544350,-0.544454,-2.195908,0.462373
1789158651.956662,0.008662,-0.003964,0.008928,0.016037,0.314354,-0.024905,-0.031270,-0.007958,-0.999479,0.000000,0.000000,0.000000,0.039963,-0.162610,0.415583,-0.021805,0.160416,0.021630,0.131043,0.111465,-0.109120,-0.079774,-0.412461,0.117781,1.069014,-1.636246,0.567232,0.959931,0.872665,2.050762,1.090832,3.948808,-0.545416,-1.723513,-3.621559,0.305433,0.241748,-1.102771,-0.620062,0.286157,0.575248,0.463566,0.414794,1.053680,-0.544350,-0.544454,-2.195908,0.462373,0.490678,-1.361623,-0.699576,0.352181,0.624345,0.298679,0.476525,0.678310,-1.161522,-0.491426,-2.107968,0.245282
1789158651.975846,0.010795,-0.004063,-0.000204,-0.376647,0.198240,0.062713,-0.035052,-0.015276,-0.999269,0.000000,0.000000,0.000000,0.050778,-0.197162,0.418446,-0.005238,0.166304,0.061265,0.133931,0.189498,-0.116497,-0.108038,-0.480390,0.117288,0.130900,-1.898046,-0.000000,1.090831,-0.196350,2.007129,-0.327249,3.403393,-0.698132,-1.505346,-4.254241,-0.130900,0.490678,-1.361623,-0.699576,0.352181,0.624345,0.298679,0.476525,0.678310,-1.161522,-0.491426,-2.107968,0.245282,0.454676,-1.152885,-0.342653,0.189438,0.481458,0.220653,0.561374,0.449597,-1.378383,-0.165065,-1.762830,-0.093262
1789158651.995839,0.012270,-0.004780,-0.007554,-0.297018,0.040981,0.008385,-0.035755,-0.021215,-0.999135,0.000000,0.000000,0.000000,0.060841,-0.232813,0.430576,0.013140,0.161417,0.075555,0.119538,0.215479,-0.133650,-0.117779,-0.513744,0.090099,1.221730,-2.159845,0.807215,1.025381,-0.152716,-0.349066,-0.545415,0.065450,-2.116212,0.130900,-0.501783,-1.658063,0.454676,-1.152885,-0.342653,0.189438,0.481458,0.220653,0.561374,0.449597,-1.378383,-0.165065,-1.762830,-0.093262,0.060215,-0.619774,0.168852,-0.248692,0.534535,0.143756,0.277721,0.541531,-1.155290,0.386144,-1.335345,-0.457376
1789158652.015865,0.011334,-0.004865,-0.007354,0.070232,-0.051431,0.057786,-0.034671,-0.019806,-0.999203,0.000000,0.000000,0.000000,0.073334,-0.258895,0.438196,0.026140,0.160953,0.081203,0.118758,0.186108,-0.238727,-0.086635,-0.486062,0.032375,0.632682,-0.981748,0.021817,0.021817,-0.959931,-0.261799,0.021817,-1.745329,-5.781404,3.512475,3.119776,-3.599742,0.060215,-0.619774,0.168852,-0.248692,0.534535,0.143756,0.277721,0.541531,-1.155290,0.386144,-1.335345,-0.457376,-0.267474,-0.039124,0.524645,-0.686935,0.667713,0.077863,0.025708,0.982450,-1.003681,0.546203,-1.147684,-0.853029
