timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
1789148238.849339,0.004119,0.006676,0.000271,0.015770,-0.009353,-0.002268,0.000430,0.000428,-1.000000,0.000000,0.000000,0.000000,-0.024045,0.022166,-0.021860,0.023954,-0.181058,-0.183195,-0.180577,-0.178876,0.053496,0.054565,0.054475,0.054390,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.021817,-0.000000,-0.065450,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.145849,-0.444819,-0.273075,-0.507029,0.535410,-0.127168,0.214273,0.043312,-0.346688,0.487048,-0.787087,0.411659
1789148238.865528,0.004061,0.007317,0.000055,0.014971,-0.003494,-0.009059,0.000730,0.000828,-0.999999,0.000000,0.000000,0.000000,-0.024045,0.022166,-0.021860,0.023954,-0.181058,-0.183195,-0.180577,-0.178876,0.053561,0.054698,0.054480,0.054390,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.021817,0.000000,-0.000000,-0.145849,-0.444819,-0.273075,-0.507029,0.535410,-0.127168,0.214273,0.043312,-0.346688,0.487048,-0.787087,0.411659,0.065584,-0.783416,-0.421582,-0.401880,0.864835,-0.190376,0.487393,0.015363,-0.265344,0.460649,-1.132310,0.507850
1789148238.885389,0.004061,0.007317,0.000055,-0.121516,0.134857,-0.019578,-0.006076,-0.001627,-0.999980,0.000000,0.000000,0.000000,-0.024435,0.010647,-0.022054,0.014222,-0.169888,-0.176640,-0.139919,-0.149047,0.046034,0.058950,-0.000274,0.067742,-0.087266,-2.443461,-0.087266,-2.334378,3.163409,2.050762,4.625123,4.319690,-2.290745,1.330814,-8.159414,1.941679,0.065584,-0.783416,-0.421582,-0.401880,0.864835,-0.190376,0.487393,0.015363,-0.265344,0.460649,-1.132310,0.507850,0.287607,-0.921335,-0.620802,-0.141987,0.781915,0.167515,0.803887,0.423638,-0.375329,-0.276735,-1.563946,0.462870
1789148238.905255,0.003109,0.006020,0.000049,1.483172,0.908638,0.194273,-0.024285,0.028034,-0.999312,0.000000,0.000000,0.000000,-0.016927,-0.037197,-0.048266,-0.013876,-0.066711,-0.116311,-0.073417,-0.089842,-0.016683,0.096540,-0.123911,0.100322,0.959931,-2.901610,-1.418080,-0.698132,4.232424,1.919863,2.552544,3.534292,-1.483530,0.698132,-3.032510,1.745329,0.287607,-0.921335,-0.620802,-0.141987,0.781915,0.167515,0.803887,0.423638,-0.375329,-0.276735,-1.563946,0.462870,0.498695,-1.139388,-0.865372,0.173227,0.643777,0.070782,0.387773,0.368765,-0.711977,-0.539141,-1.513022,0.475545
1789148238.925160,0.001476,0.008015,0.006469,2.237512,0.694653,0.225965,-0.038378,0.072596,-0.996623,0.000000,0.000000,0.000000,0.007085,-0.086459,-0.065103,-0.019215,-0.006320,-0.072989,-0.010817,-0.015589,-0.068236,0.079902,-0.158174,0.116020,1.548980,-2.661628,-0.065450,0.763582,2.857977,3.752458,2.814343,2.988877,-2.901610,-5.039638,-2.792528,0.567232,0.498695,-1.139388,-0.865372,0.173227,0.643777,0.070782,0.387773,0.368765,-0.711977,-0.539141,-1.513022,0.475545,0.491561,-1.059837,-0.937360,0.449827,0.728370,0.063082,0.090962,0.626775,-0.467885,-0.597402,-1.779628,0.409299
1789148238.945278,0.001686,0.025678,0.034411,2.483056,-0.034387,0.161250,-0.037991,0.121968,-0.991807,0.000000,0.000000,0.000000,0.034601,-0.127597,-0.036076,-0.005610,0.072863,-0.029945,0.023730,0.027297,-0.115578,-0.011333,-0.241555,0.124784,1.439897,-1.308997,2.683444,1.723513,3.359760,1.003565,1.941679,2.094396,-4.101524,-3.665191,-3.228860,0.152716,0.491561,-1.059837,-0.937360,0.449827,0.728370,0.063082,0.090962,0.626775,-0.467885,-0.597402,-1.779628,0.409299,0.482806,-0.888121,-0.789970,0.453344,0.742304,0.176252,0.215211,0.525544,-0.556942,-0.481830,-1.773805,0.141568
1789148238.965064,0.004314,0.041077,0.059644,-0.042154,-0.316282,0.088812,-0.029508,0.118218,-0.992549,0.000000,0.000000,0.000000,0.050366,-0.132121,0.018691,0.016207,0.123510,-0.007471,0.035560,0.072326,-0.139129,-0.051483,-0.314717,0.112286,0.567232,0.218166,1.919863,1.199914,1.854413,0.850848,1.221730,1.985312,1.374447,-1.788963,-3.032510,-1.025381,0.482806,-0.888121,-0.789970,0.453344,0.742304,0.176252,0.215211,0.525544,-0.556942,-0.481830,-1.773805,0.141568,0.441545,-0.806534,-0.493773,0.410097,0.792103,0.243097,0.524353,0.541653,-0.614497,-0.356414,-1.534299,-0.036397
1789148238.985049,0.008510,0.064253,0.095590,-0.357072,-0.454101,0.191344,-0.019645,0.110936,-0.993633,0.000000,0.000000,0.000000,0.061646,-0.134349,0.014819,0.024301,0.154711,0.003868,0.061407,0.107418,-0.133726,-0.065091,-0.357060,0.071099,0.610865,0.196350,-1.047198,0.392699,1.221731,0.850848,1.156281,1.527164,-0.719948,0.130900,-1.985313,-2.596178,0.441545,-0.806534,-0.493773,0.410097,0.792103,0.243097,0.524353,0.541653,-0.614497,-0.356414,-1.534299,-0.036397,0.373701,-0.489115,-0.050091,-0.002991,0.413853,0.405719,0.503154,0.423198,-0.777128,0.066385,-1.194165,-0.433825
1789148239.005086,0.009065,0.081999,0.122312,-1.889588,-0.434394,0.204127,-0.010238,0.073084,-0.997273,0.000000,0.000000,0.000000,0.075736,-0.140259,-0.005108,0.036188,0.171774,0.017018,0.085514,0.125103,-0.145196,-0.072397,-0.363548,0.024267,0.523599,-0.523599,-0.785398,0.807215,0.981748,0.916298,0.218166,0.370883,-0.741765,0.392699,-0.829032,-2.399828,0.373701,-0.489115,-0.050091,-0.002991,0.413853,0.405719,0.503154,0.423198,-0.777128,0.066385,-1.194165,-0.433825,0.316431,-0.343811,0.123824,-0.085764,0.105661,0.109302,0.084937,0.303900,-0.644209,0.221594,-0.847778,-0.665058
1789148239.025024,0.008652,0.085997,0.128180,-1.844980,-0.564489,0.189746,0.001706,0.036698,-0.999325,0.000000,0.000000,0.000000,0.080634,-0.145214,-0.012067,0.037595,0.168772,0.038377,0.087159,0.122379,-0.165401,-0.048001,-0.329320,-0.045497,0.000000,0.414516,-0.021817,-0.981748,-1.418080,1.788963,-0.261799,-0.087266,-1.767146,4.516039,0.916298,-4.210607,0.316431,-0.343811,0.123824,-0.085764,0.105661,0.109302,0.084937,0.303900,-0.644209,0.221594,-0.847778,-0.665058,0.214155,-0.134523,0.287417,-0.127081,0.026175,0.010603,-0.333116,0.481197,-0.634586,0.094947,-0.776585,-0.703871
