timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
1789072228.215378,0.005495,-0.004979,0.000299,0.065385,0.024841,0.016728,0.001066,0.001304,-0.999999,0.000000,0.000000,0.000000,-0.024394,0.024170,-0.024170,0.024304,-0.180927,-0.181799,-0.181276,-0.181390,0.054649,0.054090,0.054655,0.054300,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.261799,0.000000,-0.021817,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.113462,-0.468196,-0.290279,-0.497589,0.532437,-0.123037,0.238313,0.051462,-0.332438,0.469491,-0.796220,0.425788
1789072228.231772,0.004608,-0.005250,0.000521,0.037555,0.027637,0.008472,0.002059,0.001997,-0.999996,0.000000,0.000000,0.000000,-0.024394,0.024170,-0.024170,0.024304,-0.180927,-0.182456,-0.181101,-0.180880,0.054649,0.054472,0.054655,0.054300,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.152716,0.000000,0.065450,0.000000,-0.000000,-0.113462,-0.468196,-0.290279,-0.497589,0.532437,-0.123037,0.238313,0.051462,-0.332438,0.469491,-0.796220,0.425788,0.123969,-0.820882,-0.462029,-0.360273,0.856572,-0.188184,0.488138,0.019005,-0.258427,0.428886,-1.126931,0.535868
1789072228.251592,0.003869,-0.005442,0.000962,-0.076295,0.008063,0.018193,0.001270,0.000161,-0.999999,0.000000,0.000000,0.000000,-0.024394,0.013134,-0.029957,0.001126,-0.120015,-0.168933,-0.152194,-0.139472,0.046806,0.063389,0.023179,0.080685,0.000000,-2.508911,-0.916298,-2.399828,5.868670,2.705261,3.839725,2.574361,-1.985312,2.050762,-4.756023,1.265364,0.123969,-0.820882,-0.462029,-0.360273,0.856572,-0.188184,0.488138,0.019005,-0.258427,0.428886,-1.126931,0.535868,0.201722,-0.742308,-0.437764,-0.189752,0.713162,0.172386,0.782305,0.363281,-0.227398,-0.172270,-1.424685,0.388838
1789072228.271345,0.003876,-0.006106,0.006579,-0.393078,0.787304,0.101816,-0.014690,-0.007573,-0.999863,0.000000,0.000000,0.000000,-0.018413,-0.039049,-0.053871,-0.019002,0.011117,-0.111097,-0.043924,-0.071816,-0.046348,0.093213,-0.159276,0.114146,0.785398,-3.294309,-1.156281,-1.069014,6.763152,1.985312,5.781404,3.337942,-0.894482,0.436332,-8.203049,1.112648,0.201722,-0.742308,-0.437764,-0.189752,0.713162,0.172386,0.782305,0.363281,-0.227398,-0.172270,-1.424685,0.388838,0.165311,-0.862770,-0.548497,0.013035,0.617154,0.416331,0.742372,0.896435,-0.505066,-0.476824,-1.817680,0.440171
1789072228.291063,0.005187,-0.006015,0.015507,0.125972,0.849222,0.093161,-0.030306,-0.003757,-0.999534,0.000000,0.000000,0.000000,-0.011192,-0.089923,-0.072409,-0.029027,0.105624,-0.055615,0.058481,0.005870,-0.047703,0.069400,-0.278507,0.101926,0.763582,-2.072579,-0.894481,-0.392699,4.232424,3.708825,4.232424,3.207043,0.152716,-4.319690,-5.083272,-0.239983,0.165311,-0.862770,-0.548497,0.013035,0.617154,0.416331,0.742372,0.896435,-0.505066,-0.476824,-1.817680,0.440171,0.192132,-1.069314,-0.674112,0.209591,0.668145,0.335173,0.421693,1.028961,-0.642632,-0.562502,-2.070145,0.522934
1789072228.311040,0.006906,-0.006275,0.014704,0.172710,0.487565,-0.154114,-0.038562,-0.002964,-0.999252,0.000000,0.000000,0.000000,0.008855,-0.123937,-0.083577,-0.029712,0.147986,0.007684,0.126895,0.093199,-0.090396,-0.036182,-0.372863,0.103783,1.221731,-1.723513,-0.632682,0.196349,1.047198,2.923427,2.857977,4.014257,-1.941679,-5.388704,-5.301438,-0.000000,0.192132,-1.069314,-0.674112,0.209591,0.668145,0.335173,0.421693,1.028961,-0.642632,-0.562502,-2.070145,0.522934,0.497289,-1.393031,-0.888351,0.524443,0.553993,0.339471,0.387919,0.879821,-0.735436,-0.621590,-2.224811,0.411036
1789072228.330832,0.009287,-0.006510,0.009219,-0.261918,0.271316,-0.022953,-0.043451,-0.008390,-0.999020,0.000000,0.000000,0.000000,0.030977,-0.156646,-0.099525,-0.020541,0.158534,0.045939,0.141809,0.171483,-0.134408,-0.096497,-0.455619,0.120143,0.719948,-2.094396,-0.894481,0.610865,0.305433,1.483530,0.305433,3.207043,-1.505347,-2.312561,-3.425210,0.458149,0.497289,-1.393031,-0.888351,0.524443,0.553993,0.339471,0.387919,0.879821,-0.735436,-0.621590,-2.224811,0.411036,0.587011,-1.406382,-0.820587,0.531375,0.523317,0.267836,0.556174,0.630638,-1.100685,-0.408712,-2.135245,0.109476
1789072228.350699,0.011438,-0.006204,-0.001989,0.039020,0.165456,0.090631,-0.046666,-0.007559,-0.998882,0.000000,0.000000,0.000000,0.050252,-0.205714,-0.113558,0.011105,0.154648,0.065950,0.125147,0.208200,-0.164567,-0.127751,-0.515700,0.109794,1.330814,-2.988877,-0.589049,2.094395,-0.632682,0.959931,-0.959931,0.872665,-1.178098,-1.308997,-2.443462,-0.261799,0.587011,-1.406382,-0.820587,0.531375,0.523317,0.267836,0.556174,0.630638,-1.100685,-0.408712,-2.135245,0.109476,0.477811,-1.101000,-0.379101,0.227986,0.334280,0.217247,0.548121,0.382720,-1.169383,0.068789,-1.779208,-0.179855
1789072228.370702,0.010668,-0.004130,-0.004407,0.150340,0.040287,0.115664,-0.047433,-0.004533,-0.998864,0.000000,0.000000,0.000000,0.074220,-0.254177,-0.117474,0.046873,0.148398,0.071099,0.117377,0.194614,-0.230998,-0.119816,-0.528391,0.058794,1.548980,-2.356195,-0.021817,1.723513,-0.763582,-0.000000,-0.065450,-1.374447,-2.574361,1.745329,-0.196350,-1.941679,0.477811,-1.101000,-0.379101,0.227986,0.334280,0.217247,0.548121,0.382720,-1.169383,0.068789,-1.779208,-0.179855,0.092698,-0.550412,0.130912,-0.296028,0.544116,0.052273,0.195566,0.695070,-0.960764,0.561554,-1.275116,-0.505545
1789072228.390646,0.007495,-0.000909,0.000086,0.200407,-0.180356,0.065863,-0.043695,-0.000500,-0.999045,0.000000,0.000000,0.000000,0.092737,-0.283586,-0.109588,0.056104,0.120988,0.070142,0.119322,0.149950,-0.267972,-0.068999,-0.486656,-0.007724,0.698132,-0.741765,0.632682,-0.000000,-1.418080,-0.523599,-0.174533,-2.181662,-1.047198,5.170538,2.967060,-2.356195,0.092698,-0.550412,0.130912,-0.296028,0.544116,0.052273,0.195566,0.695070,-0.960764,0.561554,-1.275116,-0.505545,-0.279286,0.018971,0.708214,-0.636167,0.718555,0.007565,-0.028320,1.037015,-0.724738,0.472205,-0.964996,-0.685862
