timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
1788293473.861359,-0.002369,0.004482,0.002137,0.140527,0.015301,0.002486,0.001142,0.002619,-0.999996,0.000000,0.000000,0.000000,-0.024743,0.024609,-0.023955,0.024743,-0.180144,-0.182806,-0.181191,-0.180403,0.054474,0.054475,0.054216,0.054647,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.279544,0.056315,-0.206027,0.143996,0.089826,0.099467,0.126783,0.225401,0.232995,0.026637,0.197917,-0.110033
1788293473.877248,-0.002446,0.005085,0.000648,0.108037,0.018497,0.003684,0.002130,0.004700,-0.999987,0.000000,0.000000,0.000000,-0.024456,0.024344,-0.023955,0.024303,-0.180144,-0.182339,-0.180946,-0.180403,0.054474,0.054475,0.054216,0.054647,0.021817,0.000000,-0.000000,-0.000000,0.000000,0.087266,0.065450,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.279544,0.056315,-0.206027,0.143996,0.089826,0.099467,0.126783,0.225401,0.232995,0.026637,0.197917,-0.110033,0.386951,-0.011185,-0.376381,0.320228,0.035081,0.171196,0.141634,0.384232,0.299003,-0.032585,0.223704,-0.066902
1788293473.896971,-0.002441,0.005522,-0.000789,0.065426,0.277356,0.021394,-0.004005,0.006033,-0.999974,0.000000,0.000000,0.000000,-0.006951,0.022305,-0.033213,0.029556,-0.123266,-0.128968,-0.151057,-0.134509,0.052846,0.026577,0.050750,0.016602,1.418080,-0.196350,-0.698132,0.589049,3.512475,4.952373,3.381576,4.297874,0.021817,-1.374447,-0.545415,-3.294309,0.386951,-0.011185,-0.376381,0.320228,0.035081,0.171196,0.141634,0.384232,0.299003,-0.032585,0.223704,-0.066902,0.377122,-0.056108,-0.285162,0.612840,-0.185868,-0.011671,0.045210,0.623164,0.233042,-0.269648,0.112655,-0.079661
1788293473.916869,-0.002075,0.006084,0.001322,0.291528,0.773769,-0.042655,-0.017681,0.010725,-0.999786,0.000000,0.000000,0.000000,0.016785,0.017475,-0.046423,0.043360,-0.054816,-0.048862,-0.072244,-0.042004,0.068385,0.006915,0.054543,-0.004585,1.352630,-0.305433,-0.676315,0.719948,2.268928,3.163409,4.123341,5.039639,0.130900,-0.632682,0.283616,-0.392699,0.377122,-0.056108,-0.285162,0.612840,-0.185868,-0.011671,0.045210,0.623164,0.233042,-0.269648,0.112655,-0.079661,0.353325,-0.113818,-0.378030,0.784812,-0.138747,-0.214824,0.014396,0.745165,0.210157,-0.484427,-0.060081,-0.018958
1788293473.936534,0.000385,0.006991,0.011124,0.018954,0.353123,-0.150513,-0.024420,0.011193,-0.999639,0.000000,0.000000,0.000000,0.030827,0.016046,-0.050315,0.059139,-0.044854,-0.033332,-0.040038,0.016331,0.064884,-0.015349,0.051238,-0.008275,1.396264,-0.109083,-0.458149,1.461713,1.003565,1.308997,2.814344,5.345071,-0.261799,-2.857977,-1.112647,-0.392699,0.353325,-0.113818,-0.378030,0.784812,-0.138747,-0.214824,0.014396,0.745165,0.210157,-0.484427,-0.060081,-0.018958,0.369573,-0.238454,-0.392393,0.912398,0.017869,-0.193918,0.124553,0.805294,0.247153,-0.419533,-0.099329,-0.011293
1788293473.956494,0.003334,0.007056,0.013546,0.103376,0.054449,0.037773,-0.023106,0.014639,-0.999626,0.000000,0.000000,0.000000,0.061965,0.005026,-0.065837,0.103023,-0.039896,-0.029102,-0.007026,0.117822,0.055833,-0.086679,0.012006,-0.004547,0.458149,-0.501782,-0.043633,1.985312,0.785398,-1.156280,0.327250,2.421645,-0.043633,-1.788963,-1.505346,0.174533,0.369573,-0.238454,-0.392393,0.912398,0.017869,-0.193918,0.124553,0.805294,0.247153,-0.419533,-0.099329,-0.011293,0.451899,-0.234861,-0.490795,0.873205,0.164655,0.020779,0.205229,0.783294,0.189909,-0.339750,-0.272951,-0.098446
1788293473.976518,0.004779,0.007458,0.009468,0.104708,0.193866,0.072394,-0.026692,0.016588,-0.999506,0.000000,0.000000,0.000000,0.067326,-0.015171,-0.071572,0.139443,-0.016830,-0.039498,0.000740,0.159707,0.059040,-0.095490,-0.009426,-0.002368,0.021817,-0.829032,-0.370883,1.527163,1.745329,-0.239983,0.589049,1.745330,-0.174533,-0.196350,-0.763582,0.087267,0.451899,-0.234861,-0.490795,0.873205,0.164655,0.020779,0.205229,0.783294,0.189909,-0.339750,-0.272951,-0.098446,0.509214,-0.199565,-0.491848,0.805297,0.225937,0.062801,0.208092,0.735691,0.115191,-0.363853,-0.354597,-0.182947
1788293473.996516,0.004779,0.007458,0.009468,-0.006213,0.264040,0.035909,-0.031816,0.016258,-0.999362,0.000000,0.000000,0.000000,0.077730,-0.031580,-0.082753,0.164314,0.011777,-0.020468,0.021938,0.181306,0.049481,-0.086796,-0.042994,-0.013920,0.589049,-0.567232,-0.349066,0.698132,1.505347,1.112648,0.959931,0.698132,-0.632682,0.283616,-1.396263,-0.239983,0.509214,-0.199565,-0.491848,0.805297,0.225937,0.062801,0.208092,0.735691,0.115191,-0.363853,-0.354597,-0.182947,0.483192,-0.125670,-0.412539,0.618151,0.306801,-0.044168,0.255729,0.550323,0.028881,-0.272154,-0.357966,-0.286279
1788293474.016452,0.005189,0.005721,0.001139,-0.084909,0.138339,0.019131,-0.034388,0.014559,-0.999303,0.000000,0.000000,0.000000,0.094711,-0.040909,-0.092055,0.171555,0.036031,-0.000181,0.035300,0.183763,0.035006,-0.086927,-0.068699,-0.032156,0.676315,-0.414516,-0.283616,0.109083,1.265364,0.894482,0.501782,-0.000000,-0.872665,-0.021817,-1.003564,-0.589049,0.483192,-0.125670,-0.412539,0.618151,0.306801,-0.044168,0.255729,0.550323,0.028881,-0.272154,-0.357966,-0.286279,0.519327,-0.075293,-0.387790,0.348666,0.513048,-0.174481,0.309851,0.323517,-0.063729,-0.167237,-0.301575,-0.424849
1788293474.036494,0.004824,0.003806,0.003711,-0.162541,-0.115194,0.042167,-0.029663,0.011867,-0.999490,0.000000,0.000000,0.000000,0.102972,-0.040805,-0.094815,0.164219,0.058742,-0.002518,0.042241,0.164774,0.014937,-0.072885,-0.079869,-0.056432,0.174533,0.021817,-0.000000,-0.458149,1.767146,-0.152716,0.370883,-1.156281,-1.178097,0.261799,-0.479966,-0.807215,0.519327,-0.075293,-0.387790,0.348666,0.513048,-0.174481,0.309851,0.323517,-0.063729,-0.167237,-0.301575,-0.424849,0.554914,-0.036483,-0.458591,0.157904,0.713850,-0.242557,0.325098,0.187922,-0.135138,-0.075446,-0.249312,-0.541940
