timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
1789149922.071214,-0.000086,0.000030,0.000059,0.002321,0.003164,-0.000537,0.000025,0.000260,-1.000000,0.000000,0.000000,0.000000,-0.024086,0.024345,-0.022425,0.024568,-0.180752,-0.181715,-0.181450,-0.181145,0.054783,0.054474,0.054698,0.054300,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.089134,-0.000065,-0.000045,0.000070,-0.000608,0.003430,-0.000137,0.000070,0.000503,-1.000000,0.000000,0.000000,0.000000,-0.024086,0.024345,-0.022425,0.024568,-0.180752,-0.181715,-0.181450,-0.181145,0.054783,0.054474,0.054698,0.054300,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.108917,-0.000047,-0.000057,0.000238,-0.009263,-0.002296,0.005722,-0.000959,0.000742,-0.999999,0.000000,0.000000,0.000000,-0.020579,0.022367,-0.022332,0.021792,-0.156410,-0.181142,-0.159982,-0.150113,0.049195,0.054385,0.038205,0.039419,0.589049,-0.458149,0.021817,-0.414516,3.970625,0.239983,3.163409,3.272493,-1.069014,-0.043633,-2.028945,-1.396264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.128703,0.000985,0.000947,0.007634,-0.060529,0.390520,0.080956,-0.009652,0.000135,-0.999953,0.000000,0.000000,0.000000,-0.014876,0.015959,-0.026911,0.021797,-0.117765,-0.105215,-0.132371,-0.136601,0.024979,0.029544,0.024000,0.029999,0.109083,-0.218166,-0.261799,0.043633,1.483530,3.250676,0.349066,-0.196350,-1.047198,-0.654499,-0.218166,-0.065450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.149097,0.004430,0.002974,0.020020,0.167837,0.466953,0.140344,-0.019991,0.003476,-0.999794,0.000000,0.000000,0.000000,-0.012665,0.015443,-0.026420,0.019899,-0.087587,-0.069496,-0.111443,-0.117339,0.004157,0.010056,0.019380,0.028606,0.130900,0.000000,0.109083,-0.152716,1.505347,1.592613,1.178098,1.265364,-0.916298,-0.850848,-0.261800,-0.218166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.168847,0.010883,0.006355,0.032469,-0.161197,0.182394,0.164047,-0.023877,0.000243,-0.999715,0.000000,0.000000,0.000000,-0.011694,0.014729,-0.026264,0.020747,-0.062234,-0.041415,-0.095642,-0.101124,-0.006822,0.000991,0.017553,0.022639,0.000000,-0.021817,-0.000000,0.021817,1.090831,1.439897,0.829032,0.959931,-0.239983,-0.218166,-0.087267,-0.349066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.188551,0.028727,0.014939,0.043151,-0.155338,-0.176866,0.162049,-0.020977,-0.002605,-0.999777,0.000000,0.000000,0.000000,-0.011694,0.013488,-0.025220,0.019068,-0.050946,-0.022942,-0.082803,-0.086201,-0.007389,-0.001550,0.014962,0.015295,0.000000,-0.087266,0.021817,-0.000000,0.501782,0.501782,0.589049,0.610865,0.261799,-0.000000,-0.087267,-0.305433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.208510,0.045486,0.023121,0.040894,-0.077574,-0.196440,0.182156,-0.017533,-0.004094,-0.999838,0.000000,0.000000,0.000000,-0.013870,0.009654,-0.025217,0.018893,-0.044074,-0.017733,-0.071549,-0.075460,-0.001537,0.000756,0.014458,0.013285,-0.130900,-0.261799,-0.000000,-0.000000,0.458149,0.152717,0.479966,0.523599,0.414516,0.218166,0.130900,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.228544,0.071885,0.036616,0.032737,0.057182,-0.079261,0.136083,-0.016765,-0.002832,-0.999855,0.000000,0.000000,0.000000,-0.015531,0.008168,-0.021915,0.018893,-0.034106,-0.013560,-0.059274,-0.065577,0.005401,0.008463,0.017518,0.016481,-0.043633,-0.043633,0.239983,-0.000000,0.676315,0.305433,0.654499,0.567232,0.327249,0.370883,0.218166,0.239983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1789149922.248486,0.090373,0.045950,0.025346,-0.015655,-0.066877,0.114512,-0.015547,-0.003195,-0.999874,0.000000,0.000000,0.000000,-0.016281,0.007636,-0.019613,0.018953,-0.022165,-0.008256,-0.045003,-0.055402,0.011665,0.016781,0.020277,0.020883,-0.043633,-0.043633,0.087266,-0.109083,0.567232,0.218167,0.741765,0.545416,0.196350,0.370883,0.043633,0.130900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
