timestamp,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
1788560763.548006,-0.002509,0.000594,0.000058,0.005951,0.005148,-0.000009,-0.000319,0.000312,-1.000000,0.000000,0.000000,0.000000,-0.024394,0.024434,-0.025176,0.024303,-0.181368,-0.181557,-0.181895,-0.181799,0.054824,0.054998,0.054802,0.055088,0.000000,0.000000,-0.000000,-0.000000,-0.021817,-0.043633,-0.109083,-0.000000,0.000000,-0.000000,0.152716,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011236,-0.271860,-0.000754,-0.278818,0.081145,0.089595,0.312870,0.135337,-0.004055,0.064584,-0.110856,-0.201768
1788560763.552130,-0.003103,0.000285,0.000297,0.011676,-0.000844,0.004652,-0.000546,0.000643,-1.000000,0.000000,0.000000,0.000000,-0.024394,0.024434,-0.025351,0.024303,-0.181366,-0.181758,-0.181895,-0.182132,0.054475,0.054649,0.054728,0.055088,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.087266,-0.021817,0.000000,-0.000000,0.196350,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008806,-0.273085,-0.001744,-0.278339,0.082830,0.090091,0.306875,0.138114,0.000723,0.063538,-0.113041,-0.200707
1788560763.568238,-0.003282,0.000182,0.000456,0.006350,-0.006570,0.007847,-0.000681,0.000821,-0.999999,0.000000,0.000000,0.000000,-0.024394,0.024434,-0.025351,0.024303,-0.181366,-0.181933,-0.181892,-0.182331,0.054126,0.054649,0.054259,0.055088,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.130900,-0.021817,0.000000,-0.000000,0.109083,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009365,-0.270725,0.001376,-0.277074,0.079896,0.092400,0.312875,0.132612,-0.001818,0.062379,-0.111119,-0.202052
1788560763.588104,-0.003272,0.000124,0.000733,-0.064490,-0.013760,0.005850,-0.002831,-0.001092,-0.999995,0.000000,0.000000,0.000000,-0.024394,0.024434,-0.025307,0.019130,-0.181366,-0.179037,-0.177862,-0.181022,0.053951,0.050381,0.052841,0.054270,0.000000,0.000000,0.021817,-1.330814,0.000000,0.938115,1.178097,0.545415,0.000000,-1.243547,-0.327249,-0.283616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.046695,-0.366137,-0.036976,-0.264559,0.127545,0.018080,0.092339,0.143730,0.076114,0.003452,-0.175685,-0.152343
1788560763.608164,-0.001431,0.001055,0.009778,-0.059563,0.557754,0.062043,-0.014067,-0.002284,-0.999898,0.000000,0.000000,0.000000,-0.018730,0.002844,-0.029335,0.005020,-0.132968,-0.139145,-0.138660,-0.133830,0.029915,0.029536,0.026440,0.023048,0.327249,-0.894481,-0.349066,-0.239983,1.439897,1.374447,0.261800,0.676315,-1.003564,-1.112648,-0.392699,-1.134464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035442,-0.210442,0.027334,-0.292165,0.043143,0.292621,0.287266,0.121549,-0.004909,0.035155,-0.098919,-0.217555
1788560763.628224,0.003521,0.004668,0.026346,-0.013491,0.430588,0.132616,-0.025409,-0.003267,-0.999672,0.000000,0.000000,0.000000,-0.017977,-0.010219,-0.027833,-0.003815,-0.100192,-0.101729,-0.116598,-0.130416,0.007367,0.015237,0.029699,0.032446,0.000000,-0.479966,0.021817,-0.392699,1.941679,2.203478,1.832596,1.308997,-1.178097,-0.894481,-0.654499,0.501782,-0.011236,-0.271860,-0.000754,-0.278818,0.081145,0.089595,0.312870,0.135337,-0.004055,0.064584,-0.110856,-0.201768,0.014457,-0.353874,0.058375,-0.172972,-0.068684,0.425095,0.126038,0.045116,0.266985,-0.080063,-0.231151,0.067278
1788560763.648006,0.017423,0.015507,0.052229,-0.078605,0.051487,0.182151,-0.026438,-0.004846,-0.999639,0.000000,0.000000,0.000000,-0.019411,-0.026826,-0.030148,-0.009311,-0.058814,-0.056250,-0.090985,-0.096521,0.003833,0.004733,0.014785,0.013241,-0.130900,-0.916298,0.043633,-0.043633,2.290745,2.639811,1.439897,1.330814,0.174533,-0.152716,-0.043633,-0.981748,-0.008806,-0.273085,-0.001744,-0.278339,0.082830,0.090091,0.306875,0.138114,0.000723,0.063538,-0.113041,-0.200707,0.062142,-0.372880,0.031447,-0.176447,0.006892,0.541674,0.212478,0.032465,0.264800,-0.072316,-0.226601,0.052624
1788560763.667882,0.031853,0.025614,0.064552,-0.232269,-0.361303,0.046064,-0.019817,-0.009833,-0.999755,0.000000,0.000000,0.000000,-0.018700,-0.032690,-0.027312,-0.015673,-0.026323,-0.012748,-0.069076,-0.074074,-0.003849,0.002158,0.000293,-0.006459,0.021817,-0.239983,-0.000000,-0.196350,0.959931,2.399828,0.894481,1.069014,-0.152716,-0.545415,-1.483530,-0.261800,-0.009365,-0.270725,0.001376,-0.277074,0.079896,0.092400,0.312875,0.132612,-0.001818,0.062379,-0.111119,-0.202052,-0.005886,-0.348103,0.071621,-0.175428,0.075256,0.374782,0.266089,0.088728,0.214944,-0.017400,-0.212273,-0.017515
1788560763.687523,0.039249,0.030534,0.068787,0.147631,-0.267027,0.028354,-0.014830,-0.006853,-0.999867,0.000000,0.000000,0.000000,-0.013616,-0.050386,-0.028266,-0.020486,-0.016882,0.022377,-0.036348,-0.035083,0.045206,-0.011848,-0.029345,0.014352,0.545415,-0.545416,-0.043633,-0.283616,0.872665,1.025381,0.807215,1.767146,0.741765,-0.000000,-0.632682,0.196350,-0.046695,-0.366137,-0.036976,-0.264559,0.127545,0.018080,0.092339,0.143730,0.076114,0.003452,-0.175685,-0.152343,-0.056286,-0.314349,0.022331,-0.238649,0.044271,0.395587,0.380844,0.129182,0.072543,0.062981,-0.201725,-0.047939
1788560763.707603,0.039249,0.030534,0.068787,0.051357,-0.161699,-0.040888,-0.011921,-0.005964,-0.999911,0.000000,0.000000,0.000000,-0.008040,-0.053260,-0.028416,-0.024239,-0.009437,0.030024,-0.026040,-0.020264,0.049702,-0.010953,-0.031554,0.015131,0.654499,-0.283616,-0.021817,-0.370883,0.850848,0.239983,1.156281,1.396264,0.392699,0.349066,-0.087267,0.043633,0.035442,-0.210442,0.027334,-0.292165,0.043143,0.292621,0.287266,0.121549,-0.004909,0.035155,-0.098919,-0.217555,-0.056170,-0.319818,-0.019100,-0.192727,-0.018208,0.393611,0.409192,0.149162,0.091496,0.094680,-0.245697,0.016027
