time_start,or_x,or_y,or_z,or_w,av_x,av_y,av_z,la_x,la_y,la_z
1709213034.6802177,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0011111111111111111,0.0,0.0,0.0,-0.12,0.03
1709213034.6890388,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.0,-0.14,0.04
1709213034.698921,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,-0.0022222222222222222,0.0033333333333333335,0.0011111111111111111,-0.01,-0.16,0.05
1709213034.7098672,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0011111111111111111,0.0011111111111111111,0.01,-0.12,0.04
1709213034.7190473,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,-0.02,-0.14,0.02
1709213034.7297394,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.0,-0.14,0.04
1709213034.7407136,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.0,-0.13,0.03
1709213034.7491083,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.0,-0.14,0.01
1709213034.7592528,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.0,-0.12,0.04
1709213034.769196,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.01,-0.12,0.07
1709213034.7793307,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,-0.01,-0.13,0.04
1709213034.7890842,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.01,-0.12,0.01
1709213034.7992465,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0,0.0,-0.14,0.02
1709213034.8096824,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0,0.0022222222222222222,0.0,-0.12,0.06
1709213034.8195431,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0011111111111111111,0.0,0.0,-0.14,0.04
1709213034.8293557,0.07855244932601836,-0.019775441788368257,0.011657745004871411,0.9966456449452632,0.0,0.0011111111111111111,0.0,0.02,-0.14,0.02
