time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot,motion,movement
1750874740.8232172,7500.058527146,30.615154266357422,-57.829994201660156,91.18000030517578,4.575164794921875,-56.9375114440918,127.07999420166016,3.997504472732544,-64.58999633789062,151.30516052246094,1.3900033235549927,-44.14484405517578,113.24516296386719,Stop,Stepping
1750874740.8331962,7500.069956036,30.615102767944336,-57.829994201660156,91.18000030517578,4.575153827667236,-56.93751907348633,127.07992553710938,3.9974818229675293,-64.59004974365234,151.30506896972656,1.3900022506713867,-44.14487075805664,113.24512481689453,Stop,Stepping
1750874740.8431504,7500.091576033,30.614931106567383,-57.82997131347656,91.17996978759766,4.575122833251953,-56.93756103515625,127.0797119140625,3.9973878860473633,-64.5902328491211,151.3047332763672,1.390002727508545,-44.14495086669922,113.2449722290039,Stop,Stepping
1750874740.8531742,7500.092027741,30.61455726623535,-57.829925537109375,91.1799087524414,4.575054168701172,-56.937625885009766,127.07921600341797,3.9972023963928223,-64.59062194824219,151.30404663085938,1.3899983167648315,-44.14512634277344,113.24462890625,Stop,Stepping
1750874740.8631542,7500.101132455,30.613908767700195,-57.82985305786133,91.1798095703125,4.5749382972717285,-56.93775939941406,127.07838439941406,3.9968788623809814,-64.59129333496094,151.30284118652344,1.3899928331375122,-44.14543533325195,113.24404907226562,Stop,Stepping
1750874740.8731327,7500.112880332,30.61292266845703,-57.829734802246094,91.1796646118164,4.574756145477295,-56.93794250488281,127.07710266113281,3.9963877201080322,-64.59232330322266,151.30101013183594,1.389979362487793,-44.14590835571289,113.24314880371094,Stop,Stepping
1750874740.8831263,7500.118085199,30.611513137817383,-57.82957077026367,91.1794662475586,4.574495315551758,-56.93822479248047,127.07528686523438,3.9956815242767334,-64.5937728881836,151.2983856201172,1.3899688720703125,-44.14657211303711,113.24188232421875,Stop,Stepping
1750874740.8931267,7500.132524472,30.609622955322266,-57.82935333251953,91.17919158935547,4.574151992797852,-56.938594818115234,127.07284545898438,3.994732141494751,-64.59573364257812,151.29486083984375,1.3899478912353516,-44.1474723815918,113.24018096923828,Stop,Stepping
1750874740.9031382,7500.138670632,30.607175827026367,-57.82906723022461,91.17882537841797,4.573703765869141,-56.9390754699707,127.06967163085938,3.993502616882324,-64.59825897216797,151.29031372070312,1.389922857284546,-44.14863967895508,113.23796844482422,Stop,Stepping
1750874740.9131157,7500.148191189,30.604116439819336,-57.828712463378906,91.17837524414062,4.573143482208252,-56.93968200683594,127.06572723388672,3.991969108581543,-64.6014175415039,151.2846221923828,1.3898924589157104,-44.150089263916016,113.23521423339844,Stop,Stepping
1750874740.9231238,7500.158142217,30.600372314453125,-57.82827377319336,91.17781829833984,4.5724568367004395,-56.94041442871094,127.06087493896484,3.990091562271118,-64.60530090332031,151.27764892578125,1.3898555040359497,-44.151878356933594,113.2318344116211,Stop,Stepping
1750874740.9331326,7500.168982534,30.595876693725586,-57.82775115966797,91.17716217041016,4.571632385253906,-56.94129943847656,127.05506896972656,3.987846851348877,-64.60993957519531,151.269287109375,1.3898100852966309,-44.15400314331055,113.22776794433594,Stop,Stepping
1750874740.9431846,7500.194152088,30.5905704498291,-57.82713317871094,91.17637634277344,4.570662498474121,-56.94233703613281,127.04820251464844,3.9851980209350586,-64.61540985107422,151.25941467285156,1.3897554874420166,-44.156524658203125,113.22297668457031,Stop,Stepping
1750874740.953152,7500.194536937,30.584392547607422,-57.82640838623047,91.17546081542969,4.569530963897705,-56.943546295166016,127.04020690917969,3.982103109359741,-64.62175750732422,151.24790954589844,1.3896936178207397,-44.15945816040039,113.2174072265625,Stop,Stepping
1750874740.963118,7500.198710043,30.577306747436523,-57.825584411621094,91.17440032958984,4.568231582641602,-56.94492721557617,127.03103637695312,3.978571891784668,-64.62903594970703,151.23472595214844,1.3896243572235107,-44.16282653808594,113.21100616455078,Stop,Stepping
1750874740.9731503,7500.208153906,30.569211959838867,-57.82463836669922,91.17321014404297,4.5667548179626465,-56.946510314941406,127.02056884765625,3.9745326042175293,-64.63734436035156,151.2196502685547,1.3895412683486938,-44.166664123535156,113.20369720458984,Stop,Stepping
1750874740.9831352,7500.219160712,30.56009292602539,-57.82356643676758,91.17184448242188,4.565088272094727,-56.948280334472656,127.0087661743164,3.96999192237854,-64.64665985107422,151.20266723632812,1.3894479274749756,-44.17098617553711,113.19546508789062,Stop,Stepping
1750874740.9931228,7500.235391788,30.54987907409668,-57.82236862182617,91.17033386230469,4.563220024108887,-56.95026397705078,126.99554443359375,3.9649133682250977,-64.65708923339844,151.18365478515625,1.389346718788147,-44.175819396972656,113.18622589111328,Stop,Stepping
1750874741.0031223,7500.239489594,30.538503646850586,-57.82102584838867,91.16863250732422,4.561144828796387,-56.95246124267578,126.98079681396484,3.9592630863189697,-64.66867065429688,151.1624755859375,1.3892329931259155,-44.18119812011719,113.17594146728516,Stop,Stepping
1750874741.0131223,7500.2499692,30.52593231201172,-57.81954574584961,91.16674041748047,4.558846473693848,-56.954891204833984,126.96452331542969,3.953026294708252,-64.68141174316406,151.1390380859375,1.389105200767517,-44.18714904785156,113.1645736694336,Stop,Stepping
1750874741.0231206,7500.258842131,30.51210594177246,-57.81790542602539,91.16466522216797,4.556327819824219,-56.95754623413086,126.94660186767578,3.9461910724639893,-64.69538879394531,151.11326599121094,1.3889702558517456,-44.19367599487305,113.15206146240234,Stop,Stepping
