time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot
1981.644918562,1981.647892366,0.08646823465824127,-0.37833982706069946,-0.14962762594223022,0.19658663868904114,-0.0010344497859477997,-0.036670636385679245,-0.012089766561985016,-0.009690523147583008,0.04605221748352051,0.0844627320766449,0.24652615189552307,0.08812469989061356
1981.653514656,1981.656135399,-0.30121779441833496,-0.9101967811584473,-0.11669593304395676,-0.1288163661956787,0.1065218448638916,-0.08308868110179901,-0.04323134943842888,-0.16932427883148193,0.0006759390234947205,-0.019788546487689018,-0.4623775780200958,-0.07283854484558105
1981.663491923,1981.666033049,0.011180095374584198,-0.33148640394210815,-0.20671062171459198,-0.6639741659164429,-5.364418029785156e-05,0.0369868166744709,-0.1116185411810875,-0.19750285148620605,0.00031307339668273926,-0.01938779652118683,-0.8051775693893433,-0.032806411385536194
1981.673516615,1981.676171086,0.052871979773044586,0.20094428956508636,-0.23257243633270264,0.17579802870750427,-0.26038095355033875,-0.00925738736987114,-0.1527407020330429,0.04086028039455414,-0.0779486745595932,-0.017712078988552094,0.07508878409862518,-0.11465491354465485
1981.68349497,1981.686079264,-0.29343917965888977,-0.3783939480781555,-0.001135990023612976,0.19557882845401764,0.0009090900421142578,0.027148008346557617,-0.295703262090683,0.09469974040985107,0.08904150873422623,0.19496138393878937,-0.8047389388084412,0.08584728837013245
1981.693577359,1981.696240758,-0.3797212243080139,0.4347846508026123,-0.07193385064601898,0.545218825340271,0.20149889588356018,0.13893473148345947,-0.15473894774913788,0.6504001617431641,0.26667872071266174,0.2110028862953186,-0.9526644349098206,0.08677159249782562
1981.703485696,1981.705986565,-0.4201120436191559,0.4086179733276367,-0.3636589050292969,1.0704541206359863,0.3122682571411133,0.24946491420269012,-0.7095531821250916,0.5692847967147827,0.6250316500663757,0.7089434862136841,-0.5861012935638428,0.6495791077613831
1981.713530612,1981.716039929,-0.7016498446464539,0.5657550096511841,-0.9054171442985535,0.6714164018630981,-0.30028417706489563,0.4714127480983734,-1.2817546129226685,0.09492188692092896,1.4009853601455688,2.0525732040405273,-1.4814112186431885,1.494627594947815
1981.723473959,1981.725988076,-1.5852351188659668,-0.3761313557624817,-1.2025083303451538,1.2487833499908447,-0.6867567896842957,1.0629802942276,-2.0477113723754883,1.6206320524215698,2.7424204349517822,4.114396095275879,-2.462233781814575,3.4746217727661133
1981.733504667,1981.735975039,-1.8633615970611572,-0.8453512191772461,-1.3974553346633911,2.0818769931793213,-0.3772849142551422,1.2906255722045898,-3.2870161533355713,3.771498918533325,2.5959880352020264,3.915493965148926,-4.43651008605957,3.325232744216919
1981.743488238,1981.746008051,-3.918120861053467,-0.496779203414917,-2.766634941101074,3.3551137447357178,-0.97648024559021,1.2907524108886719,-3.7375686168670654,5.684875011444092,3.754152536392212,4.048877716064453,-3.9168784618377686,4.798321723937988
1981.753553858,1981.756298282,-3.845599412918091,-1.289860725402832,-3.219991445541382,4.274020671844482,-0.5152586102485657,2.432159662246704,-3.530787467956543,4.653294563293457,4.475666046142578,4.117015838623047,-5.702489852905273,5.194042682647705
1981.763516181,1981.766250685,-6.91919469833374,-1.118977427482605,-3.9224400520324707,7.308335781097412,-0.9388315677642822,3.4094369411468506,-3.827028751373291,8.188467979431152,5.4007039070129395,4.5769853591918945,-7.5920915603637695,5.769896507263184
1981.773509352,1981.775976428,-6.811503887176514,-2.146571636199951,-5.795585632324219,6.710394382476807,-1.5623363256454468,4.776700496673584,-5.637299060821533,4.614695072174072,7.230865955352783,5.641154766082764,-4.212873458862305,7.427434921264648
1981.783483355,1981.785979103,-7.399703025817871,-2.324003219604492,-7.122500896453857,7.021137714385986,-2.524106025695801,5.578166484832764,-4.245330810546875,4.560995578765869,7.087124347686768,4.595954418182373,-5.7245097160339355,7.6395182609558105
1981.793518703,1981.796052372,-7.626523971557617,-2.267219305038452,-7.729936122894287,7.460291862487793,-1.5527650117874146,6.030251502990723,-3.5789990425109863,7.900401592254639,8.057106971740723,3.692808151245117,-6.639294624328613,8.017319679260254
1981.803501442,1981.806122152,-7.835653781890869,-2.5043036937713623,-10.484922409057617,7.684597015380859,-0.8027231693267822,7.825687408447266,-3.120453119277954,3.630321741104126,9.264123916625977,3.7401273250579834,-6.303165435791016,9.787904739379883
1981.813499861,1981.815954169,-8.189697265625,-3.6002159118652344,-11.093439102172852,7.311621189117432,-2.5307235717773438,8.81210994720459,-3.1431257724761963,2.8837597370147705,10.039408683776855,3.9642109870910645,-5.970611095428467,10.953816413879395
1981.823470696,1981.826041806,-8.850579261779785,-4.226579666137695,-12.757997512817383,7.7033233642578125,-3.856886625289917,10.332283020019531,-3.334803819656372,3.053309202194214,12.002742767333984,3.5414137840270996,-5.758423805236816,11.916109085083008
1981.833530044,1981.836091842,-11.924939155578613,-4.359755992889404,-13.869182586669922,11.355785369873047,-4.360404968261719,10.902663230895996,-3.5114407539367676,4.419295787811279,12.93319320678711,3.75706148147583,-5.553459167480469,13.697713851928711
1981.843484558,1981.845993523,-11.928244590759277,-4.842920780181885,-14.973967552185059,8.197279930114746,-3.0909740924835205,12.204174995422363,-3.733957529067993,4.097975254058838,15.275307655334473,3.198618173599243,-6.321437835693359,15.426735877990723
1981.853512322,1981.855971174,-9.960639953613281,-3.5693540573120117,-16.527477264404297,9.533830642700195,-2.826460838317871,12.910645484924316,-2.092379570007324,1.3785508871078491,16.23875617980957,3.3420231342315674,-6.935061454772949,17.237829208374023
