timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,gravity_x,gravity_y,gravity_z
1785345168.267024,-0.000338,0.000326,-0.000021,0.003594,0.000271,-0.000924,0.859148,0.626086,-9.752229
1785345168.277776,0.000257,-0.000351,-0.000060,-0.001547,-0.004085,-0.000248,0.858760,0.626267,-9.752252
1785345168.283876,0.000094,0.000062,-0.000150,-0.000337,0.000662,0.002606,0.858842,0.626272,-9.752245
1785345168.297730,0.000439,0.000031,-0.000289,0.006063,0.002918,-0.000264,0.859082,0.625666,-9.752262
1785345168.297872,-0.000423,0.000354,-0.000932,0.009446,0.005288,0.005154,0.859559,0.624668,-9.752284
1785345168.310064,-0.000419,0.000213,0.000618,-0.017214,-0.008966,-0.003116,0.858789,0.626426,-9.752239
1785345168.327314,-0.000439,0.000802,0.000936,0.005059,0.000706,0.005915,0.858856,0.625878,-9.752269
1785345168.327457,-0.000779,-0.000104,-0.000453,0.001188,0.003445,-0.004146,0.859160,0.625776,-9.752248
1785345168.331846,0.000268,-0.000108,0.000358,-0.000711,-0.004062,0.000045,0.858770,0.625873,-9.752277
1785345168.345324,0.000116,0.000866,0.000072,-0.000802,0.000432,0.003581,0.858837,0.625916,-9.752268
1785345168.359529,0.000030,-0.000052,0.000035,0.002804,0.001063,0.001310,0.858929,0.625625,-9.752278
1785345168.359673,-0.000167,-0.001038,-0.000495,-0.001252,0.001367,-0.004657,0.859044,0.625778,-9.752258
1785345168.369170,-0.000024,0.001625,-0.000389,0.001147,-0.000864,0.005004,0.858980,0.625628,-9.752274
1785345168.380240,-0.000109,-0.000063,-0.000331,-0.005404,-0.000412,0.002332,0.858991,0.626134,-9.752240
1785345168.380377,-0.001689,-0.000577,-0.000072,-0.002682,-0.003663,-0.001646,0.858644,0.626434,-9.752252
1785345168.395261,0.001204,0.001322,0.000695,0.000952,-0.001477,0.000793,0.858498,0.626345,-9.752270
1785345168.403707,-0.000344,-0.000457,0.000540,0.000989,0.003489,-0.003731,0.858810,0.626258,-9.752248
1785345168.408963,0.000142,-0.000737,0.000091,0.001179,0.003197,0.002851,0.859129,0.626096,-9.752231
1785345168.419347,-0.000165,0.000936,-0.001357,0.004496,-0.000589,0.003503,0.859060,0.625633,-9.752266
1785345168.430432,0.000100,0.000056,-0.000929,-0.004785,-0.001924,-0.000447,0.858903,0.626114,-9.752249
1785345168.439775,-0.000576,0.001258,0.000725,0.004374,0.001776,0.000601,0.859049,0.625673,-9.752265
1785345168.439908,0.000017,-0.000160,0.000645,-0.000819,0.001150,0.002042,0.859178,0.625726,-9.752250
1785345168.449666,0.000006,0.000325,0.000285,-0.001499,0.000253,0.003066,0.859230,0.625842,-9.752238
1785345168.463215,-0.000710,-0.000568,0.000429,-0.000197,-0.003819,-0.001746,0.858850,0.625903,-9.752268
1785345168.470254,-0.000384,0.000245,-0.000372,0.001721,0.002965,0.000285,0.859129,0.625713,-9.752255
1785345168.477327,-0.000697,-0.001500,-0.000793,-0.006284,-0.004093,-0.003773,0.858753,0.626384,-9.752245
1785345168.491868,0.000081,0.001261,-0.000158,0.003979,0.002939,0.003272,0.859029,0.625949,-9.752249
1785345168.491994,0.000876,0.000520,-0.000051,0.002465,0.000505,0.002231,0.859074,0.625686,-9.752262
1785345168.509150,0.000099,0.000754,-0.000249,-0.001744,0.002109,0.001007,0.859297,0.625832,-9.752233
1785345168.509322,-0.000156,0.000171,0.000783,0.002198,-0.000689,0.001372,0.859222,0.625611,-9.752253
1785345168.516252,-0.000860,0.000046,0.000119,-0.004095,-0.000938,-0.000467,0.859157,0.626019,-9.752233
1785345168.530831,-0.000008,0.000133,0.000320,-0.000513,-0.000231,-0.000725,0.859134,0.626076,-9.752231
1785345168.532934,0.000063,0.000274,-0.000421,0.002463,0.001228,0.000960,0.859242,0.625821,-9.752238
1785345168.557360,0.000781,-0.000486,-0.000766,0.003829,-0.001462,0.001843,0.859083,0.625443,-9.752276
1785345168.557523,-0.004097,0.004072,-0.005512,0.070269,0.033944,-0.000777,0.861893,0.618408,-9.752477
1785345168.561989,0.003995,-0.002935,0.006387,-0.077147,-0.035391,0.000289,0.858987,0.626124,-9.752241
1785345168.582829,-0.000512,0.000079,0.000158,-0.003830,-0.000107,-0.000041,0.859003,0.626496,-9.752216
1785345168.583028,-0.000113,-0.000512,-0.000103,0.007967,0.000822,0.001877,0.859038,0.625702,-9.752264
1785345168.583102,-0.000736,-0.000638,-0.001125,0.012496,0.007993,0.002016,0.859741,0.624418,-9.752284
1785345168.595496,0.000104,0.001043,0.001437,-0.015014,-0.003514,-0.000376,0.859501,0.625900,-9.752210
1785345168.606179,0.000037,0.000680,-0.000559,0.003000,0.000137,0.000127,0.859494,0.625607,-9.752230
1785345168.615287,0.000213,0.000060,-0.000007,-0.001639,-0.002115,-0.000613,0.859296,0.625786,-9.752236
1785345168.615407,0.000447,0.000395,0.000209,-0.000709,-0.003277,0.004578,0.859008,0.625836,-9.752258
1785345168.633743,-0.000556,-0.000130,0.000458,-0.000108,0.003311,-0.001598,0.859322,0.625838,-9.752230
1785345168.635874,-0.000451,0.000563,-0.000255,0.003813,0.000027,0.001921,0.859309,0.625451,-9.752256
1785345168.648172,-0.000154,0.000117,-0.001079,-0.000215,-0.000226,-0.000834,0.859284,0.625481,-9.752256
1785345168.649762,0.000127,0.000591,-0.000107,-0.009514,-0.001985,-0.000349,0.859154,0.626420,-9.752208
1785345168.660991,-0.000441,0.000065,0.001224,0.008262,0.002685,0.002217,0.859371,0.625581,-9.752242
1785345168.669559,-0.000295,-0.000360,0.000143,0.000370,-0.001434,-0.001382,0.859221,0.625567,-9.752256
1785345168.674049,-0.000535,0.000334,0.000292,-0.000471,-0.002140,0.001468,0.859024,0.625615,-9.752271
1785345168.681959,0.000534,0.000244,0.000470,-0.005458,0.000319,-0.000340,0.859091,0.626144,-9.752231
1785345168.695439,0.000500,-0.000165,-0.001004,0.000636,0.001412,0.001498,0.859233,0.626059,-9.752224
1785345168.701326,-0.000632,0.000187,-0.000955,0.007833,0.001868,0.001731,0.859370,0.625272,-9.752262
1785345168.714272,0.000161,0.000120,0.000058,-0.008160,-0.001997,-0.000705,0.859228,0.626083,-9.752223
1785345168.714424,-0.000159,0.000444,0.000884,0.000860,-0.001540,-0.000806,0.859068,0.626017,-9.752241
1785345168.727790,-0.000180,0.000428,0.000018,0.000755,0.001578,0.000562,0.859219,0.625928,-9.752233
1785345168.747797,-0.000954,-0.001110,-0.000047,0.000244,-0.000089,0.001002,0.859215,0.625896,-9.752236
1785345168.747977,0.000333,0.001379,-0.000176,0.005423,0.002107,0.001000,0.859388,0.625347,-9.752256
1785345168.754006,-0.000690,-0.000039,0.000554,-0.006401,-0.001790,0.002193,0.859270,0.625960,-9.752227
1785345168.758739,0.001381,0.000321,-0.000050,-0.000353,-0.003423,-0.002764,0.858924,0.626043,-9.752252
1785345168.771114,-0.000383,-0.000224,-0.000498,0.001187,0.002995,0.002705,0.859223,0.625883,-9.752236
