timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,lin_vel_fil_x,lin_vel_fil_y,lin_vel_fil_z,ang_vel_fil_x,ang_vel_fil_y,ang_vel_fil_z,gravity_x,gravity_y,gravity_z
1786124990.914779,0.000101,0.000468,-0.000508,-0.000909,-0.002787,0.000353,-0.000004,-0.000052,-0.000081,-0.001033,-0.002852,-0.001084,-0.197914,-0.065653,-9.807784
1786124990.934115,0.000250,-0.000476,-0.001422,-0.000131,-0.005811,-0.000110,-0.000026,0.000062,-0.000160,0.003177,0.001148,-0.000296,-0.197924,-0.065424,-9.807785
1786124990.934178,0.000173,-0.000204,-0.000182,-0.001209,-0.000054,0.000000,0.000028,-0.000011,-0.000168,0.000771,0.000489,-0.000133,-0.198504,-0.064886,-9.807777
1786124990.936731,0.015386,0.010241,-0.195174,-0.873468,-0.937232,-0.240971,0.000028,-0.000011,-0.000170,-0.002683,-0.003216,-0.001085,-0.197919,-0.065356,-9.807786
1786124990.952168,0.000066,0.000016,0.001102,-0.001344,-0.000672,0.000071,0.000022,-0.000011,-0.000139,0.000307,0.000463,0.000231,-0.198021,-0.065152,-9.807785
1786124990.954037,0.003602,0.007544,0.003457,0.021325,0.035966,0.010223,0.000030,-0.000006,0.000103,-0.000506,-0.000096,0.000152,-0.197363,-0.065540,-9.807795
1786124990.977596,-0.000238,-0.000504,0.000154,0.003992,-0.000371,-0.001894,0.000042,0.000020,0.000115,0.001789,0.003695,0.001211,-0.197446,-0.066471,-9.807788
1786124990.977715,0.051014,0.109776,-0.141475,-1.391102,-0.583349,0.244612,-0.000057,-0.000166,0.000130,0.003104,0.001268,-0.000642,-0.198131,-0.064835,-9.807785
1786124990.982221,-0.000639,-0.004332,0.000048,0.008050,0.002072,-0.004410,-0.000056,-0.000162,0.000126,-0.007285,-0.003088,0.001185,-0.198038,-0.065195,-9.807784
1786124990.986660,-0.001292,0.002786,-0.002518,-0.005071,0.000285,-0.002573,-0.000065,-0.000232,0.000124,-0.003901,-0.001949,-0.000050,-0.198025,-0.064976,-9.807786
1786124991.000970,-0.001292,0.002786,-0.002518,-0.005071,0.000285,-0.002573,-0.000087,-0.000178,0.000076,-0.004156,-0.001462,-0.000600,-0.197848,-0.064834,-9.807790
1786124991.003387,0.002916,-0.007496,0.003593,0.052694,0.013131,0.008606,-0.000079,-0.000040,0.000046,0.004639,0.001586,0.001369,-0.197538,-0.066078,-9.807788
1786124991.015656,0.000306,-0.000101,0.000501,-0.002974,0.000365,-0.000947,-0.000079,-0.000040,0.000046,0.004639,0.001586,0.001369,-0.197493,-0.065723,-9.807792
1786124991.026770,-0.000558,-0.000158,-0.000398,0.000089,-0.002938,0.000699,-0.000027,-0.000050,0.000108,0.001325,0.001054,0.000361,-0.197814,-0.065731,-9.807785
1786124991.028892,0.000340,-0.000897,0.004158,0.003638,0.020344,0.000205,-0.000084,-0.000062,0.000053,0.000817,-0.000587,0.000500,-0.197390,-0.065807,-9.807793
1786124991.039000,-0.000183,0.000310,-0.001588,-0.009558,-0.009675,-0.001434,-0.000083,-0.000066,0.000072,0.001148,0.001875,0.000465,-0.198349,-0.064862,-9.807780
1786124991.050551,0.000103,0.000083,0.000654,0.006382,0.007307,0.000165,-0.000092,-0.000029,-0.000091,-0.003010,-0.002611,-0.000273,-0.197521,-0.065585,-9.807792
1786124991.053465,-0.000183,0.002605,-0.000039,-0.005681,-0.011071,0.002081,-0.000068,-0.000015,0.000000,0.000940,0.001560,-0.000088,-0.197838,-0.065421,-9.807787
1786124991.075915,0.000266,0.000662,-0.000611,-0.000599,-0.000546,0.000553,-0.000069,0.000009,0.000000,-0.000085,-0.000395,0.000247,-0.197959,-0.065287,-9.807785
1786124991.076005,-0.089341,-0.202035,-0.000806,0.971895,0.060053,-0.446508,0.000051,0.000245,-0.000219,-0.000386,-0.000483,0.000426,-0.197903,-0.066153,-9.807780
1786124991.089652,0.000091,-0.000358,-0.000307,-0.004432,0.001320,0.001169,0.000049,0.000241,-0.000219,0.005085,-0.000142,-0.002089,-0.197727,-0.065557,-9.807788
1786124991.089732,0.008775,-0.079670,0.117506,-0.500461,-0.241155,0.335099,0.000055,0.000152,-0.000232,0.000692,0.000533,-0.000585,-0.197919,-0.065158,-9.807787
1786124991.100953,0.001137,0.000551,0.002063,-0.021555,-0.008466,-0.001325,0.000055,0.000151,-0.000231,-0.001819,-0.000678,0.001097,-0.198849,-0.062789,-9.807783
1786124991.103821,-0.004615,-0.001339,-0.000864,0.073839,0.031294,-0.004239,0.000173,0.000194,0.000021,-0.009980,-0.003898,0.000096,-0.197968,-0.064869,-9.807788
