timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,gravity_x,gravity_y,gravity_z
1785345687.989409,-0.021091,-0.010340,0.002468,0.038824,-0.105322,-0.049564,0.805023,0.432782,-9.767330
1785345687.998608,-0.020438,-0.012327,0.000514,0.046727,-0.081165,-0.045689,0.796688,0.430497,-9.768114
1785345688.004860,-0.020380,-0.010838,-0.001978,0.038026,-0.111216,-0.057702,0.791937,0.424570,-9.768760
1785345688.020007,-0.020373,-0.021380,0.001634,0.103407,0.030635,-0.036123,0.780406,0.426077,-9.769623
1785345688.020914,-0.020373,-0.021380,0.001634,0.103407,0.030635,-0.036123,0.776760,0.416577,-9.770323
1785345688.030028,-0.021620,-0.013199,0.006024,0.111304,-0.036594,-0.010186,0.767363,0.410202,-9.771335
1785345688.042111,-0.019385,-0.029128,-0.009168,0.102315,0.025469,-0.087124,0.763440,0.401518,-9.772003
1785345688.052810,-0.022512,-0.021230,0.001442,0.110270,-0.020251,-0.033290,0.755401,0.394459,-9.772915
1785345688.052908,-0.023756,-0.028713,-0.001422,0.084736,-0.012350,-0.071016,0.749535,0.389223,-9.773577
1785345688.068216,-0.022500,-0.028727,0.001637,0.089285,0.005363,-0.032974,0.744724,0.382270,-9.774219
1785345688.069803,-0.022143,-0.027625,0.001390,0.106692,0.021672,-0.044378,0.740169,0.373096,-9.774919
1785345688.090808,-0.017830,-0.017138,-0.003537,0.097785,-0.001515,-0.066422,0.734363,0.366160,-9.775620
1785345688.090937,-0.022249,-0.033318,0.003317,0.090821,-0.001579,-0.065161,0.728958,0.359754,-9.776262
1785345688.100816,-0.017667,-0.028368,0.001288,0.091880,0.035112,-0.045736,0.726313,0.350931,-9.776779
1785345688.104190,-0.019771,-0.025277,-0.003032,0.085906,-0.001821,-0.066868,0.721181,0.344927,-9.777373
1785345688.113539,-0.023557,-0.033080,0.004662,0.119923,0.071262,-0.008538,0.719612,0.331493,-9.777953
1785345688.121549,-0.017870,-0.033233,-0.001569,0.064308,0.031285,-0.065597,0.718337,0.325169,-9.778259
1785345688.132574,-0.016329,-0.034304,0.001859,0.083338,0.028342,-0.055689,0.715681,0.317472,-9.778707
1785345688.141093,-0.019470,-0.034775,0.005239,0.031193,-0.015184,-0.114798,0.712854,0.316841,-9.778934
1785345688.148375,-0.012022,-0.029741,-0.005686,0.116699,0.132590,-0.033753,0.716245,0.300180,-9.779212
1785345688.155160,-0.017699,-0.034699,-0.000199,0.077889,0.079032,-0.046867,0.717821,0.289803,-9.779409
1785345688.170025,-0.014537,-0.024304,-0.001905,0.050327,0.053295,-0.094578,0.719146,0.283438,-9.779499
1785345688.173199,-0.013644,-0.031007,-0.004044,0.043419,0.047082,-0.054820,0.720315,0.277681,-9.779578
1785345688.181831,-0.014934,-0.031473,-0.002546,0.042853,0.038565,-0.057578,0.720865,0.272495,-9.779683
1785345688.191462,-0.017021,-0.039107,0.002364,0.001303,0.084777,-0.027602,0.727409,0.267514,-9.779336
1785345688.205521,-0.014223,-0.031339,-0.006182,0.030266,0.069617,-0.060047,0.731124,0.261451,-9.779223
1785345688.205676,-0.013244,-0.033164,-0.007484,0.035908,0.018839,-0.050922,0.730551,0.257933,-9.779359
1785345688.219680,-0.015647,-0.027651,-0.000179,0.024765,0.056662,-0.051377,0.733571,0.253002,-9.779262
1785345688.223594,-0.014589,-0.033989,-0.001158,0.001040,0.045392,-0.077395,0.737210,0.250758,-9.779046
1785345688.237535,-0.013032,-0.027875,-0.004181,-0.036948,0.022965,-0.068582,0.740539,0.256334,-9.778650
1785345688.237691,-0.013032,-0.027875,-0.004181,-0.036948,0.022965,-0.068582,0.744706,0.258291,-9.778282
1785345688.252234,-0.013019,-0.024915,0.000727,-0.092972,-0.010499,-0.062579,0.749649,0.266516,-9.777684
1785345688.256673,-0.012138,-0.029653,-0.006039,-0.023556,0.042325,-0.092275,0.754563,0.266460,-9.777307
1785345688.264579,-0.011982,-0.025848,-0.003789,-0.060611,-0.006528,-0.084893,0.757931,0.272136,-9.776890
1785345688.276238,-0.012582,-0.028515,-0.000614,-0.080959,0.039195,-0.050716,0.765960,0.276345,-9.776146
1785345688.281217,-0.011382,-0.015492,-0.008159,-0.042709,-0.018099,-0.124120,0.767464,0.281662,-9.775877
1785345688.298339,-0.012462,-0.022739,-0.000791,-0.103921,-0.054698,-0.101305,0.769797,0.293700,-9.775339
1785345688.299279,-0.010934,-0.022181,-0.002332,-0.092345,-0.057627,-0.094034,0.771189,0.304979,-9.774884
1785345688.305046,-0.010153,-0.017052,-0.006429,-0.081088,0.002835,-0.071629,0.776490,0.311556,-9.774257
1785345688.320927,-0.007771,-0.023866,-0.009580,-0.127479,-0.031302,-0.113075,0.782086,0.324077,-9.773403
1785345688.321685,-0.009173,-0.028730,-0.007244,-0.077588,0.011087,-0.093065,0.787862,0.330063,-9.772739
1785345688.335076,-0.009914,-0.013492,-0.012262,-0.110292,-0.061318,-0.178365,0.790281,0.343653,-9.772075
1785345688.343326,-0.008966,-0.026690,-0.006488,-0.131285,-0.011815,-0.030948,0.797435,0.354596,-9.771103
1785345688.345408,-0.012395,-0.023089,-0.008240,-0.105378,0.008669,-0.098636,0.804733,0.362896,-9.770200
1785345688.356211,-0.011822,-0.024574,-0.006013,-0.132037,-0.012423,-0.091136,0.812030,0.374444,-9.769161
1785345688.366207,-0.010668,-0.020752,-0.007256,-0.122069,-0.027091,-0.104399,0.817631,0.386251,-9.768234
1785345688.370757,-0.008247,-0.023683,-0.005803,-0.128607,-0.012620,-0.103011,0.824738,0.397660,-9.767178
1785345688.384679,-0.008688,-0.016464,-0.002024,-0.147660,0.026126,-0.102504,0.835971,0.408135,-9.765791
1785345688.387043,-0.012704,-0.028193,-0.001098,-0.049318,-0.013005,-0.080797,0.838163,0.413387,-9.765382
1785345688.404555,-0.008928,-0.026822,-0.002922,-0.116963,0.014295,-0.101147,0.846622,0.422256,-9.764273
1785345688.404706,-0.006642,-0.028596,-0.009208,-0.119234,-0.002911,-0.114860,0.853945,0.432482,-9.763188
1785345688.419178,-0.009015,-0.025489,-0.008554,-0.123865,-0.022844,-0.093375,0.859996,0.444085,-9.762136
1785345688.419916,-0.008339,-0.026793,-0.008466,-0.099027,0.029570,-0.083921,0.868491,0.450507,-9.761089
1785345688.434561,-0.004529,-0.028843,-0.008391,-0.116147,-0.030146,-0.109872,0.873558,0.462144,-9.760093
1785345688.437612,-0.002746,-0.026935,-0.008519,-0.083113,-0.006762,-0.134897,0.878421,0.470105,-9.759277
1785345688.451870,-0.007060,-0.029561,-0.007174,-0.082726,0.029849,-0.095335,0.885965,0.475394,-9.758338
1785345688.453413,-0.006535,-0.030329,-0.008466,-0.084066,0.054516,-0.097476,0.895471,0.479279,-9.757281
1785345688.470255,-0.006200,-0.031532,-0.005454,-0.083398,0.035556,-0.097663,0.903505,0.484290,-9.756292
1785345688.472101,-0.005453,-0.034649,-0.005083,-0.078037,0.055731,-0.091991,0.912728,0.487593,-9.755269
1785345688.484600,-0.000542,-0.034562,-0.008008,-0.072595,-0.008623,-0.102889,0.916775,0.494589,-9.754538
1785345688.488287,0.001234,-0.036862,-0.008721,-0.023700,0.154650,-0.064288,0.930053,0.487414,-9.753642
1785345688.496766,-0.001046,-0.030446,-0.005641,-0.040917,0.078434,-0.057659,0.938632,0.486183,-9.752881
1785345688.511272,-0.002334,-0.037455,-0.012640,-0.043237,-0.007549,-0.124556,0.941020,0.491155,-9.752402
1785345688.512211,-0.001686,-0.038984,-0.012438,-0.087320,0.018343,-0.131180,0.948115,0.497868,-9.751375
1785345688.535301,-0.002398,-0.041445,-0.005105,-0.033684,0.074666,-0.088578,0.956028,0.496641,-9.750665
1785345688.535382,-0.000166,-0.042074,-0.005307,-0.026529,0.093743,-0.079414,0.964913,0.493594,-9.749944
1785345688.538201,-0.000361,-0.044929,0.004019,-0.072616,0.128484,-0.087131,0.979303,0.491875,-9.748596
1785345688.555554,0.002216,-0.039019,-0.005577,-0.014238,0.099662,-0.065898,0.987841,0.487402,-9.747959
1785345688.555696,-0.000355,-0.046878,-0.002103,0.050813,0.073916,-0.056451,0.990366,0.479616,-9.748089
1785345688.572151,0.001678,-0.046266,-0.006555,-0.023137,0.068043,-0.095981,0.997171,0.478087,-9.747471
1785345688.572307,-0.000377,-0.045634,-0.002071,0.024765,0.113701,-0.071772,1.004343,0.469894,-9.747133
1785345688.585989,-0.003383,-0.048188,-0.001401,0.026396,0.099014,-0.064520,1.010293,0.462419,-9.746875
1785345688.589107,-0.002985,-0.039959,-0.001634,0.005988,-0.039910,-0.082470,1.007172,0.465359,-9.747058
1785345688.600254,-0.001311,-0.042217,-0.002694,0.006022,0.061993,-0.061077,1.011610,0.461669,-9.746774
1785345688.604520,-0.006266,-0.054088,0.004118,-0.005457,-0.029991,-0.116117,1.010053,0.465193,-9.746768
1785345688.619196,0.000845,-0.050341,-0.010469,0.060928,0.209066,-0.054915,1.022007,0.448123,-9.746322
1785345688.622934,0.000148,-0.045896,-0.002822,0.049042,0.051116,-0.076916,1.022985,0.442107,-9.746494
1785345688.631649,-0.003357,-0.052009,-0.001296,0.004524,0.039960,-0.051467,1.025847,0.439798,-9.746298
1785345688.645290,-0.006720,-0.051049,-0.002833,-0.007583,-0.041576,-0.098387,1.023544,0.444023,-9.746348
1785345688.647242,-0.002255,-0.039394,-0.007509,0.058769,0.036653,-0.068229,1.022793,0.438110,-9.746695
1785345688.658006,-0.007026,-0.040892,0.000115,0.051647,-0.024941,-0.099279,1.018004,0.436941,-9.747248
1785345688.669415,-0.002440,-0.043671,-0.003453,0.074821,0.052821,-0.061020,1.017410,0.428744,-9.747674
1785345688.671582,-0.003414,-0.044843,-0.000661,0.051934,0.011682,-0.076372,1.015251,0.424991,-9.748064
1785345688.685014,-0.000763,-0.042083,0.000287,0.046243,-0.001154,-0.071324,1.012480,0.422415,-9.748464
1785345688.686658,-0.007868,-0.049155,0.003796,0.036615,-0.019099,-0.060038,1.008946,0.421567,-9.748867
1785345688.702086,-0.006596,-0.045350,0.004371,0.050221,-0.068868,-0.087055,1.000944,0.423165,-9.749623
1785345688.705234,-0.006044,-0.042210,0.000661,0.050304,-0.032952,-0.072269,0.995548,0.422321,-9.750212
1785345688.716251,-0.006892,-0.041636,0.005703,0.036758,-0.012212,-0.078447,0.992566,0.421212,-9.750564
1785345688.720798,-0.009493,-0.045914,0.005626,0.044217,-0.106832,-0.087675,0.982129,0.425683,-9.751426
1785345688.732638,-0.006389,-0.038414,-0.004571,0.085012,-0.079726,-0.057901,0.971003,0.425145,-9.752564
1785345688.738991,-0.005921,-0.042878,0.003372,0.060961,-0.087673,-0.088303,0.960908,0.427179,-9.753475
1785345688.756002,-0.007908,-0.040352,0.001190,0.068289,-0.093370,-0.089005,0.949920,0.429053,-9.754469
1785345688.756062,-0.005494,-0.039567,0.002237,0.065113,-0.091753,-0.073952,0.939203,0.430908,-9.755425
1785345688.765830,-0.005120,-0.037531,0.000874,0.049502,-0.101803,-0.072723,0.928732,0.434537,-9.756266
1785345688.772091,-0.005621,-0.029363,-0.000765,0.093214,-0.040057,-0.023719,0.919882,0.430541,-9.757282
1785345688.785745,-0.006093,-0.048882,0.001821,0.044948,-0.079222,-0.083316,0.911391,0.433155,-9.757963
1785345688.786737,-0.005017,-0.040018,-0.000161,0.067456,-0.089567,-0.082350,0.900686,0.434788,-9.758884
1785345688.800290,-0.007735,-0.033237,0.002185,0.085841,-0.068657,-0.089031,0.890353,0.433803,-9.759876
1785345688.805926,-0.008689,-0.038581,0.008469,0.009934,-0.216060,-0.074263,0.873997,0.447693,-9.760727
1785345688.817434,-0.006384,-0.040088,0.001986,0.054978,-0.099985,-0.100286,0.863341,0.451084,-9.761520
