time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot
1707239809.0450447,16893.973554234,23.555156707763672,-14.362613677978516,83.60895538330078,-26.189992904663086,-13.772337913513184,84.2562484741211,30.789989471435547,-9.882529258728027,103.84932708740234,-29.29998207092285,-9.759560585021973,114.3790054321289
1707239809.0568693,16893.984737607,23.55507469177246,-14.362701416015625,83.60897827148438,-26.189903259277344,-13.77242660522461,84.25627899169922,30.789838790893555,-9.882669448852539,103.84934997558594,-29.2998046875,-9.759732246398926,114.37899780273438
1707239809.0688426,16893.997085868,23.55481719970703,-14.36297607421875,83.60905456542969,-26.189611434936523,-13.772727012634277,84.25637817382812,30.789363861083984,-9.883126258850098,103.84939575195312,-29.299222946166992,-9.760300636291504,114.37899017333984
1707239809.0811572,16894.009352447,23.554264068603516,-14.363584518432617,83.60922241210938,-26.188995361328125,-13.773355484008789,84.25658416748047,30.78834342956543,-9.884102821350098,103.84950256347656,-29.297998428344727,-9.76149845123291,114.37894439697266
1707239809.0928626,16894.021078459,23.55335235595703,-14.364567756652832,83.60948181152344,-26.1879825592041,-13.774397850036621,84.2569351196289,30.78666877746582,-9.885701179504395,103.84967041015625,-29.295982360839844,-9.763467788696289,114.37889862060547
1707239809.104911,16894.033343517,23.551956176757812,-14.36608600616455,83.60990142822266,-26.186426162719727,-13.7760009765625,84.2574691772461,30.784088134765625,-9.88815975189209,103.84992980957031,-29.292879104614258,-9.766510009765625,114.37882232666016
1707239809.116887,16894.044854717,23.54998779296875,-14.368221282958984,83.6104736328125,-26.184226989746094,-13.778249740600586,84.25821685791016,30.780458450317383,-9.89162540435791,103.85031127929688,-29.288509368896484,-9.770783424377441,114.37869262695312
1707239809.1288688,16894.057177005,23.547351837158203,-14.37108325958252,83.61125946044922,-26.181289672851562,-13.781270027160645,84.25921630859375,30.775606155395508,-9.896265029907227,103.8508071899414,-29.282663345336914,-9.776500701904297,114.3785400390625
1707239809.1409354,16894.069657469,23.54395294189453,-14.374765396118164,83.61225891113281,-26.1774959564209,-13.785161018371582,84.26051330566406,30.76934051513672,-9.902246475219727,103.85144805908203,-29.275121688842773,-9.783886909484863,114.37834167480469
1707239809.1528466,16894.080736166,23.53974151611328,-14.379339218139648,83.61351013183594,-26.172800064086914,-13.7899808883667,84.2621078491211,30.76157569885254,-9.909661293029785,103.85224151611328,-29.265785217285156,-9.793020248413086,114.37808227539062
