time_start,or_x,or_y,or_z,or_w,av_x,av_y,av_z,la_x,la_y,la_z
1711477219.4140866,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,-0.01,-0.07
1711477219.4227688,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.01,-0.06
1711477219.432631,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.1
1711477219.4434893,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.01,-0.06
1711477219.4529083,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.09
1711477219.4573019,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.09
1711477219.465735,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.07
1711477219.4741812,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.08
1711477219.483662,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,-0.01,0.0,-0.06
1711477219.493591,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.01,-0.08
1711477219.503761,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,-0.01,0.01,-0.08
1711477219.513598,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.06
1711477219.5238888,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.07
1711477219.5336447,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.01,-0.1
1711477219.543679,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.08
1711477219.5539193,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.08
1711477219.5640059,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.09
1711477219.5737705,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.08
1711477219.583973,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.07
1711477219.5939853,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.09
1711477219.6041765,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,-0.01,-0.08
1711477219.6140249,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,-0.02,-0.08
1711477219.6239762,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,-0.02,-0.08
1711477219.6345193,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,-0.01,-0.08
1711477219.6442254,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.11
1711477219.6543608,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.08
1711477219.664547,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.09
1711477219.6741452,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.01,-0.08
1711477219.684477,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.09
1711477219.6942132,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.09
1711477219.7045825,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.09
1711477219.7145703,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,-0.01,-0.07
1711477219.7241874,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,-0.01,-0.08
1711477219.73435,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.08
1711477219.7443333,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,0.0,-0.08
1711477219.754585,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.06
1711477219.7645516,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.01,-0.01,-0.08
1711477219.7745495,0.027831870284476624,-0.018310440976629358,0.0,0.9994449033076858,0.0,0.0,0.0,0.0,0.0,-0.07
