timestamp,gx,gy,gz,ax,ay,az,madgwick_qw,madgwick_qx,madgwick_qy,madgwick_qz,kalman_qw,kalman_qx,kalman_qy,kalman_qz,madgwick_roll_deg,madgwick_pitch_deg,madgwick_yaw_deg,kalman_roll_deg,kalman_pitch_deg,kalman_yaw_deg,robot_accel_x,robot_accel_y,robot_accel_z,kalman_converged,kalman_P_change,convergence_counter
1785959533.462614,0.000215,0.000425,-0.001317,-0.119141,0.024902,-0.991455,1.000000,0.000069,0.000325,-0.000007,0.999903,0.013327,0.003985,-0.000007,0.007860,0.037259,-0.000752,1.527189,0.456593,0.005283,-0.119181,0.024923,8.818545,0,0.087903733,0
1785959533.467457,0.000481,0.000957,-0.001317,-0.118652,0.025635,-0.991211,1.000000,0.000141,0.000652,-0.000013,0.999456,0.032303,0.006633,-0.000011,0.016119,0.074770,-0.001498,3.702542,0.759734,0.023340,-0.196874,0.287098,8.814992,0,0.029575642,0
1785959533.469797,0.000481,0.000691,-0.001050,-0.119141,0.025879,-0.991211,0.999999,0.000213,0.000978,-0.000018,0.998337,0.057062,0.008244,-0.000012,0.024420,0.112119,-0.002087,6.542995,0.943293,0.052518,-0.249233,0.659330,8.797452,0,0.014859025,0
1785959533.475994,0.000081,0.001623,-0.001183,-0.119385,0.025879,-0.991211,0.999999,0.000283,0.001309,-0.000024,0.996071,0.088137,0.008650,-0.000016,0.032477,0.150006,-0.002746,10.114014,0.987573,0.085553,-0.280989,1.143568,8.753570,0,0.009249272,0
1785959533.477880,0.000747,0.000691,-0.001050,-0.118896,0.025391,-0.991211,0.999999,0.000356,0.001635,-0.000030,0.992107,0.125181,0.007377,-0.000017,0.040803,0.187383,-0.003324,14.383549,0.838933,0.103866,-0.287992,1.747858,8.664907,0,0.006192849,0
1785959533.479633,0.000481,0.000691,-0.001583,-0.118896,0.025391,-0.992188,0.999998,0.000427,0.001961,-0.000038,0.985777,0.168014,0.003873,-0.000019,0.048976,0.224760,-0.004202,19.345135,0.437862,0.072440,-0.262548,2.462056,8.509293,0,0.004457613,0
1785959533.492846,0.000348,0.000558,-0.001050,-0.119629,0.025879,-0.991699,0.999997,0.000499,0.002287,-0.000043,0.975649,0.219319,-0.002945,-0.000025,0.057170,0.262040,-0.004770,25.338373,-0.328581,-0.076831,-0.194710,3.275464,8.264145,0,0.003879763,0
1785959533.512851,0.000481,0.000691,-0.000784,-0.118652,0.025635,-0.991455,0.999996,0.000571,0.002613,-0.000047,0.959493,0.281327,-0.015102,-0.000031,0.065432,0.299397,-0.005180,32.689784,-1.659718,-0.490525,-0.062582,4.223971,7.874600,0,0.003773196,0
1785959533.533293,0.000481,0.001090,-0.001317,-0.119385,0.025879,-0.990967,0.999995,0.000643,0.002941,-0.000053,0.934721,0.353634,-0.035204,-0.000041,0.073717,0.336979,-0.005889,41.493605,-3.771792,-1.434174,0.164422,5.322030,7.261690,0,0.003714006,0
1785959533.552810,0.000880,0.000824,-0.001050,-0.119141,0.025635,-0.991699,0.999994,0.000717,0.003267,-0.000059,0.899202,0.432508,-0.066122,-0.000046,0.082178,0.374419,-0.006440,51.571554,-6.827155,-3.307082,0.525937,6.511178,6.340265,0,0.003629825,0
1785959533.572930,0.000481,0.000824,-0.001583,-0.119629,0.026123,-0.991943,0.999993,0.000790,0.003594,-0.000066,0.851915,0.511930,-0.110310,-0.000053,0.090517,0.411836,-0.007291,62.631827,-10.829940,-6.608333,1.046189,7.656733,5.062044,0,0.003593467,0
1785959533.593106,0.000481,0.000691,-0.001050,-0.119141,0.026123,-0.991211,0.999992,0.000863,0.003920,-0.000072,0.794648,0.583219,-0.168496,-0.000053,0.098889,0.449169,-0.007831,74.163557,-15.529056,-11.775320,1.723863,8.583013,3.438131,0,0.003568764,0
1785959533.612866,0.000481,0.000824,-0.001317,-0.119873,0.025635,-0.991211,0.999991,0.000935,0.004246,-0.000078,0.731988,0.638151,-0.238657,-0.000052,0.107080,0.486618,-0.008520,85.616767,-20.445809,-18.975216,2.506252,9.118862,1.588091,0,0.003532403,0
1785959533.632891,0.000481,0.001090,-0.000917,-0.119385,0.025391,-0.991455,0.999989,0.001006,0.004575,-0.000083,0.669362,0.672017,-0.316776,-0.000045,0.115235,0.524226,-0.008975,96.588184,-25.088346,-28.045717,3.307275,9.190574,-0.288949,0,0.003516521,0
