timestamp,gx,gy,gz,ax,ay,az,madgwick_qw,madgwick_qx,madgwick_qy,madgwick_qz,kalman_qw,kalman_qx,kalman_qy,kalman_qz,madgwick_roll_deg,madgwick_pitch_deg,madgwick_yaw_deg,kalman_roll_deg,kalman_pitch_deg,kalman_yaw_deg,robot_accel_x,robot_accel_y,robot_accel_z,kalman_converged,kalman_P_change,convergence_counter
1786464996.892638,0.011985,-0.006491,0.037234,-0.102539,0.021973,-0.995117,1.000000,0.000129,0.000290,0.000186,0.999927,0.011766,0.002861,0.000196,0.014832,0.033246,0.021338,1.348419,0.327556,0.026341,-0.101516,0.023169,8.814762,0,0.087903733,0
1786464996.897149,0.012917,-0.006891,0.036435,-0.101807,0.020996,-0.994385,1.000000,0.000261,0.000579,0.000368,0.999602,0.027798,0.004725,0.000288,0.029972,0.066309,0.042221,3.186097,0.540272,0.048090,-0.157175,0.252448,8.812600,0,0.029543442,0
1786464996.899195,0.013849,-0.008222,0.036568,-0.102783,0.021729,-0.994629,0.999999,0.000400,0.000860,0.000551,0.998795,0.048715,0.005863,0.000335,0.045891,0.098553,0.063184,5.585004,0.669161,0.071044,-0.194701,0.567252,8.799621,0,0.014825378,0
1786464996.900997,0.013316,-0.008888,0.035369,-0.103027,0.021729,-0.995117,0.999999,0.000536,0.001138,0.000728,0.997201,0.074513,0.006127,0.000374,0.061549,0.130403,0.083463,8.547224,0.697002,0.095087,-0.217020,0.976670,8.767500,0,0.008954240,0
1786464996.902760,0.012651,-0.008622,0.035103,-0.102539,0.021729,-0.994385,0.999998,0.000670,0.001418,0.000903,0.994432,0.105247,0.005235,0.000411,0.076923,0.162382,0.103593,12.083495,0.591579,0.110011,-0.221284,1.479880,8.705794,0,0.006027101,0
1786464996.914070,0.011985,-0.007823,0.034704,-0.102539,0.021484,-0.993164,0.999998,0.000800,0.001701,0.001076,0.989780,0.142578,0.002633,0.000609,0.091889,0.194822,0.123498,16.394502,0.288677,0.112118,-0.201829,2.076335,8.598588,0,0.004817558,0
1786464996.934360,0.010121,-0.007823,0.034171,-0.103516,0.021729,-0.993408,0.999997,0.000921,0.001984,0.001247,0.981919,0.189280,-0.002719,0.000949,0.105852,0.227245,0.143100,21.821437,-0.326553,0.047757,-0.149196,2.792547,8.416954,0,0.004454257,0
1786464996.954357,0.008256,-0.006225,0.033771,-0.103027,0.020508,-0.993164,0.999996,0.001030,0.002276,0.001416,0.969163,0.246107,-0.012384,0.001270,0.118423,0.260651,0.162478,28.499310,-1.411359,-0.208265,-0.043201,3.668453,8.113086,0,0.004186241,0
1786464996.973984,0.006658,-0.005426,0.033372,-0.103516,0.021484,-0.991943,0.999995,0.001134,0.002571,0.001582,0.949227,0.313292,-0.028535,0.001561,0.130406,0.294443,0.181633,36.554488,-3.161483,-0.856003,0.142400,4.701864,7.625996,0,0.003978396,0
1786464996.993946,0.004395,-0.004494,0.032706,-0.103271,0.021240,-0.991943,0.999994,0.001226,0.002871,0.001745,0.919729,0.388826,-0.053944,0.001813,0.141062,0.328775,0.200411,45.945716,-5.775894,-2.224361,0.442562,5.855397,6.875747,0,0.003843325,0
1786464997.014031,0.002930,-0.002496,0.032174,-0.104004,0.021484,-0.991455,0.999992,0.001311,0.003181,0.001906,0.878975,0.468048,-0.091270,0.002009,0.150931,0.364239,0.218891,56.459260,-9.342106,-4.761379,0.888406,7.035717,5.794708,0,0.003749954,0
1786464997.033951,0.001998,-0.001298,0.031641,-0.104248,0.021729,-0.992188,0.999991,0.001392,0.003497,0.002064,0.827433,0.543299,-0.142044,0.002129,0.160348,0.400372,0.237073,67.656054,-13.731783,-8.931813,1.493693,8.089056,4.355859,0,0.003673928,0
1786464997.054008,0.000933,0.000699,0.031108,-0.104004,0.021973,-0.991699,0.999989,0.001469,0.003822,0.002219,0.768260,0.606201,-0.205651,0.002174,0.169265,0.437624,0.254959,79.025055,-18.579618,-15.041360,2.230375,8.834694,2.630990,0,0.003623607,0
1786464997.073948,0.000400,0.002164,0.030043,-0.104004,0.021973,-0.992188,0.999987,0.001542,0.004155,0.002369,0.706575,0.650312,-0.279001,0.002143,0.177886,0.475714,0.272242,90.093360,-23.394397,-23.083870,3.027316,9.148764,0.778159,0,0.003581083,0
1786464997.093950,0.000533,0.003496,0.030176,-0.104980,0.021729,-0.992432,0.999985,0.001616,0.004495,0.002520,0.647263,0.673183,-0.357591,0.002067,0.186452,0.514596,0.289609,100.554270,-27.755081,-32.752980,3.795844,9.022917,-1.006930,0,0.003551968,0
1786464997.113959,0.000933,0.005094,0.029377,-0.104492,0.021484,-0.992432,0.999983,0.001691,0.004843,0.002667,0.593718,0.675852,-0.436715,0.001959,0.195212,0.554401,0.306526,110.221799,-31.414053,-43.548545,4.469374,8.553218,-2.582262,0,0.003530560,0
1786464997.134043,0.002531,0.006026,0.028978,-0.103516,0.022461,-0.992432,0.999981,0.001777,0.005194,0.002811,0.547271,0.661686,-0.512507,0.001841,0.205266,0.594656,0.323227,119.034846,-34.291036,-54.933510,5.014800,7.875370,-3.886085,0,0.003517692,0
1786464997.154432,0.003729,0.007224,0.028445,-0.103516,0.021973,-0.993408,0.999978,0.001867,0.005552,0.002953,0.507831,0.634630,-0.582537,0.001726,0.215869,0.635628,0.339630,127.000359,-36.430808,-66.463329,5.428328,7.104764,-4.926800,0,0.003521085,0
1786464997.174136,0.005194,0.007890,0.028046,-0.103516,0.022461,-0.992676,0.999976,0.001967,0.005914,0.003093,0.474731,0.598765,-0.645064,0.001612,0.227476,0.676944,0.355815,134.118351,-37.907975,-77.722412,5.726618,6.322245,-5.742545,0,0.003494294,0
1786464997.194655,0.006525,0.008156,0.027513,-0.103516,0.022461,-0.993652,0.999973,0.002073,0.006276,0.003231,0.446818,0.557241,-0.699881,0.001515,0.239863,0.718408,0.371703,140.462100,-38.838476,-88.504552,5.927959,5.574948,-6.381633,0,0.003509044,0
1786464997.214220,0.008523,0.008955,0.026714,-0.103271,0.022705,-0.994141,0.999970,0.002190,0.006642,0.003364,0.423240,0.512987,-0.746800,0.001426,0.253505,0.760304,0.387144,146.046050,-39.317356,-98.580301,6.052633,4.882770,-6.886837,0,0.003479327,0
1786464997.234603,0.009854,0.009355,0.026714,-0.103027,0.022217,-0.994385,0.999967,0.002312,0.007011,0.003497,0.402996,0.467781,-0.786621,0.001360,0.267810,0.802450,0.402592,150.959253,-39.440995,-107.914376,6.116462,4.256472,-7.289503,0,0.003491960,0
1786464997.254077,0.011186,0.008822,0.025915,-0.102539,0.021973,-0.994873,0.999963,0.002442,0.007377,0.003626,0.385446,0.423376,-0.819867,0.001293,0.282866,0.844293,0.417589,155.234181,-39.281017,-116.416327,6.132785,3.695015,-7.618238,0,0.003462617,0
1786464997.274070,0.011852,0.008289,0.025382,-0.101807,0.021729,-0.995117,0.999960,0.002574,0.007740,0.003752,0.369942,0.380655,-0.847492,0.001237,0.298315,0.885827,0.432287,158.948434,-38.901760,-124.116603,6.112092,3.197883,-7.889966,0,0.003462660,0
1786464997.294274,0.012917,0.007890,0.024317,-0.103027,0.022461,-0.995605,0.999956,0.002713,0.008101,0.003873,0.355810,0.340404,-0.870358,0.001190,0.314538,0.927093,0.446383,162.172292,-38.328873,-131.038061,6.060183,2.759876,-8.120262,0,0.003471756,0
