timestamp,gx,gy,gz,ax,ay,az,madgwick_qw,madgwick_qx,madgwick_qy,madgwick_qz,kalman_qw,kalman_qx,kalman_qy,kalman_qz,madgwick_roll_deg,madgwick_pitch_deg,madgwick_yaw_deg,kalman_roll_deg,kalman_pitch_deg,kalman_yaw_deg,robot_accel_x,robot_accel_y,robot_accel_z,kalman_converged,kalman_P_change,convergence_counter
1786467939.455856,-0.004793,0.019608,-0.079812,-0.111084,0.016846,-0.993896,1.000000,0.000026,0.000424,-0.000399,0.999954,0.008918,0.003362,-0.000422,0.003005,0.048608,-0.045728,1.021841,0.385702,-0.044951,-0.111184,0.016400,8.816000,0,0.087903733,0
1786467939.475359,-0.011451,0.018143,-0.080611,-0.109863,0.016357,-0.995117,0.999999,0.000018,0.000841,-0.000802,0.999756,0.021298,0.005758,-0.001256,0.002041,0.096395,-0.091910,2.440002,0.662753,-0.129806,-0.177802,0.189059,8.812866,0,0.031008004,0
1786467939.495182,-0.020373,0.014415,-0.082076,-0.109619,0.016357,-0.995850,0.999998,-0.000034,0.001240,-0.001212,0.999253,0.037863,0.007476,-0.002131,-0.004100,0.142047,-0.138929,4.338318,0.865316,-0.211653,-0.224693,0.429907,8.804284,0,0.016727812,0
1786467939.515665,-0.029827,0.008156,-0.083008,-0.108398,0.016846,-0.997559,0.999997,-0.000133,0.001607,-0.001627,0.998184,0.059567,0.008447,-0.003055,-0.015551,0.184084,-0.186479,6.827656,0.987144,-0.291834,-0.257562,0.752680,8.782976,0,0.011064266,0
1786467939.535442,-0.032357,0.002697,-0.084872,-0.109131,0.018066,-0.997559,0.999996,-0.000242,0.001946,-0.002051,0.996096,0.087786,0.008462,-0.003977,-0.028237,0.222942,-0.235093,10.069649,1.005896,-0.368886,-0.278662,1.177643,8.741419,0,0.008203213,0
1786467939.555410,-0.029694,-0.002630,-0.085405,-0.108643,0.018311,-0.997070,0.999994,-0.000339,0.002259,-0.002478,0.992268,0.123821,0.006935,-0.004916,-0.039445,0.258741,-0.284006,14.222474,0.858280,-0.460626,-0.281301,1.727234,8.660667,0,0.006600703,0
1786467939.576278,-0.022769,-0.007157,-0.086603,-0.109375,0.018799,-0.996582,0.999992,-0.000400,0.002549,-0.002910,0.985510,0.169491,0.002928,-0.005900,-0.046699,0.291934,-0.333599,19.514513,0.445271,-0.609507,-0.257213,2.423894,8.512299,0,0.005665775,0
1786467939.595586,-0.010918,-0.011285,-0.087269,-0.110107,0.018799,-0.994873,0.999990,-0.000403,0.002818,-0.003346,0.974122,0.225862,-0.005077,-0.006795,-0.047293,0.322774,-0.383566,26.111122,-0.390796,-0.890002,-0.187759,3.293573,8.251781,0,0.004980246,0
1786467939.615405,-0.002529,-0.012616,-0.087402,-0.110840,0.018799,-0.992920,0.999988,-0.000365,0.003081,-0.003783,0.955749,0.293453,-0.019273,-0.007643,-0.043165,0.352862,-0.433604,34.161144,-1.854093,-1.486121,-0.047100,4.335873,7.815828,0,0.004543982,0
1786467939.637224,0.002930,-0.010885,-0.088734,-0.111084,0.017578,-0.991943,0.999985,-0.000303,0.003352,-0.004226,0.927466,0.371362,-0.042719,-0.008449,-0.036336,0.384005,-0.484406,43.742367,-4.184313,-2.724084,0.199737,5.524362,7.120849,0,0.004334635,0
1786467939.655792,0.003596,-0.008355,-0.088201,-0.111816,0.017334,-0.990723,0.999982,-0.000238,0.003637,-0.004667,0.887610,0.453836,-0.078112,-0.008890,-0.029251,0.416619,-0.534902,54.490552,-7.504081,-5.015862,0.596107,6.783697,6.077204,0,0.004036064,0
1786467939.675529,-0.001730,-0.001564,-0.088201,-0.112061,0.016357,-0.989014,0.999979,-0.000203,0.003956,-0.005108,0.836009,0.533627,-0.127468,-0.009083,-0.025556,0.453172,-0.585400,66.015552,-11.737956,-8.885309,1.157586,7.935524,4.660389,0,0.003875109,0
