time_start,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot
11985.017550903,-31.479991912841797,-33.79234313964844,91.41999053955078,29.619997024536133,-33.7907829284668,94.4524917602539,28.025157928466797,-13.840005874633789,95.56997680664062,-33.48515701293945,-8.060001373291016,90.65250396728516
11985.027816092,-31.479951858520508,-33.79237365722656,91.4200210571289,29.619956970214844,-33.790809631347656,94.4525146484375,28.02511215209961,-13.840065002441406,95.57000732421875,-33.485107421875,-8.060068130493164,90.65255737304688
11985.037631843,-31.479812622070312,-33.7924690246582,91.42010498046875,29.61981964111328,-33.7909049987793,94.45257568359375,28.02495765686035,-13.840269088745117,95.57012176513672,-33.48492431640625,-8.060302734375,90.6527328491211
11985.04958714,-31.479507446289062,-33.79267883300781,91.42030334472656,29.619522094726562,-33.791107177734375,94.45272064208984,28.02461814880371,-13.840713500976562,95.57037353515625,-33.48453140258789,-8.060813903808594,90.65312194824219
11985.059923113,-31.478988647460938,-33.79303741455078,91.42063903808594,29.61901092529297,-33.79145431518555,94.45296478271484,28.024038314819336,-13.841472625732422,95.57079315185547,-33.483863830566406,-8.061683654785156,90.6537857055664
11985.069545903,-31.478179931640625,-33.79359817504883,91.42115783691406,29.618215560913086,-33.79199981689453,94.4533462524414,28.023136138916016,-13.842657089233398,95.57144927978516,-33.48281478881836,-8.063043594360352,90.65482330322266
11985.079000631,-31.477027893066406,-33.794395446777344,91.4218978881836,29.617082595825195,-33.79277038574219,94.45388793945312,28.021848678588867,-13.844344139099121,95.57238006591797,-33.481327056884766,-8.064979553222656,90.65629577636719
11985.090391929,-31.475479125976562,-33.795467376708984,91.42288970947266,29.61556053161621,-33.79380798339844,94.4546127319336,28.02012062072754,-13.846610069274902,95.5736312866211,-33.47932434082031,-8.067580223083496,90.65827178955078
11985.099859584,-31.473491668701172,-33.79684066772461,91.42416381835938,29.61360740661621,-33.79513931274414,94.45555114746094,28.017902374267578,-13.849517822265625,95.57524108886719,-33.47675323486328,-8.070917129516602,90.66081237792969
11985.109700231,-31.470983505249023,-33.79857635498047,91.42577362060547,29.61114501953125,-33.796817779541016,94.45672607421875,28.015106201171875,-13.853184700012207,95.5772705078125,-33.473514556884766,-8.075125694274902,90.66401672363281
11985.120794122,-31.46790313720703,-33.80070877075195,91.42774963378906,29.608116149902344,-33.79888153076172,94.45817565917969,28.011667251586914,-13.85769271850586,95.57976531982422,-33.46953201293945,-8.08029842376709,90.6679458618164
11985.130357073,-31.4642276763916,-33.80324935913086,91.43010711669922,29.60450553894043,-33.80134201049805,94.45989990234375,28.007568359375,-13.863067626953125,95.5827407836914,-33.46478271484375,-8.086467742919922,90.67263793945312
