timestamp_request,FRshoulder_request,FRarm_request,FRfoot_request,timestamp_measured,FRshoulder_measured,FRarm_measured,FRfoot_measured,FRshoulder_current,FRarm_current,FRfoot_current
0.010003355999970154,-36.10588307065525,-16.954683152851292,102.7956115324901,0.010341509999989285,-36.28750982284546,-17.040001177787783,102.86000866889952,0.12143851816654205,-0.35421526432037354,0.0002598632127046585
0.020003895999934684,-35.92449726752752,-16.86951317144275,102.731333325439,0.020373123000126725,-36.28750982284546,-17.040001177787783,102.86000866889952,0.4019181430339813,0.11279778927564621,-0.024201158434152603
0.030004755999925692,-35.74305746859101,-16.784312654355386,102.66703310205487,0.030336061000070913,-36.28750982284546,-17.040001177787783,102.86000866889952,0.42205938696861267,0.1650419980287552,-0.31108030676841736
0.04000603100007538,-35.56160375338902,-16.699108056184404,102.6027308210692,0.04029477600010978,-36.261572265625,-17.023125910758974,102.84735102653502,0.18745936453342438,-0.0911579430103302,-0.269268661737442
0.05000730699998712,-35.38014479464368,-16.61389990517588,102.53842525435097,0.05027704300005098,-36.25235500335693,-16.998907351493838,102.82485146522521,0.7833653092384338,0.6323143243789673,-0.6253823041915894
0.06000800700007858,-35.1987032539045,-16.52869938808658,102.47412420792622,0.060289582999985214,-36.19891586303711,-16.984845423698427,102.80141491889952,0.7878187298774719,0.8129000663757324,-0.6545940041542053
0.07000886600008016,-35.01724431330272,-16.4434901550378,102.40981822968767,0.0702547930000037,-36.16188468933105,-16.953126215934756,102.7606334209442,1.0275956392288208,0.746640682220459,-0.7677686214447021
0.08000979000007646,-34.83579290235798,-16.358284457788677,102.34551409685987,0.08023392400014018,-36.10751094818115,-16.918436312675478,102.71829028129576,1.480811595916748,0.6223013997077942,-0.6689096689224243
0.09001061799995114,-34.654337427213875,-16.27307712469931,102.28120893523202,0.10022617100003117,-36.04219856262207,-16.88468577861786,102.65938420295714,1.174689531326294,0.7421045899391174,-0.8286793828010559
0.10001118900004258,-34.47290345242298,-16.18788070572957,102.21691201043886,0.11023522300001787,-35.94704093933105,-16.83843734264374,102.57875819206237,1.2273497581481934,0.7582073211669922,-0.4291893243789673
0.11001214499992784,-34.291446235476194,-16.10267119151987,102.15260499697034,0.11023522300001787,-35.81563653945923,-16.78671958446503,102.51328845024108,1.3663158416748047,0.7395851016044617,-0.7294080257415771
0.12001278000002458,-34.11000006807893,-16.01746903859032,102.0883039505456,0.12532371499992223,-35.69282236099243,-16.70812728404999,102.45485205650328,1.1884803771972656,0.7348318099975586,-0.605053722858429
0.13001319199997852,-33.92855852733975,-15.932267166821688,102.02400249902901,0.13528319800002464,-35.56188526153564,-16.611405634880068,102.42907185554503,1.3539870977401733,0.593809187412262,-1.009202241897583
0.14001373199994305,-33.74710769699728,-15.847059288452238,101.95969651436053,0.15018205199999102,-35.38063468933105,-16.51453139781952,102.39485163688659,0.6169999241828918,0.7691404223442078,-1.2989991903305054
0.15001443100004508,-33.56566094899775,-15.761856053484369,101.89539403404537,0.16016934300000685,-35.21782341003418,-16.439844393730166,102.35422749519347,1.254486083984375,0.8347903490066528,-1.301875114440918
0.16001513100013653,-33.384213602256516,-15.676651992073559,101.83109093001907,0.16016934300000685,-35.0995415687561,-16.394530558586123,102.3043837070465,0.8787937164306641,0.926906168460846,-1.0886116027832031
0.17001570299999003,-33.20275812711241,-15.591444113704108,101.76678556263033,0.17017065100003492,-34.92485466003418,-16.348124766349795,102.22938437461852,1.7086235284805298,1.5588704347610474,-1.0174131393432617
0.18001611399995454,-33.021321249318426,-15.506244968335892,101.70248616871677,0.18016952700008915,-34.728760147094725,-16.27515437602997,102.12829012870787,0.9288269877433777,1.4681802988052368,-0.6731991171836853
0.19001703799995084,-32.83986461297391,-15.42103490884611,101.63817833220617,0.19016779399998995,-34.591104412078856,-16.17843749523163,102.01657195091246,1.5613569021224976,0.9190568327903748,-0.6140056252479553
0.2000178020000476,-32.65841494382773,-15.335830847437236,101.57387522817986,0.20024904000001698,-34.36829271316528,-16.053439402580263,101.96032185554503,0.9851462841033936,1.3061463832855225,-0.8740628361701965
0.210018405000028,-32.4769658734315,-15.250623795506852,101.50956986722252,0.21017249000010452,-34.19657411575317,-15.973907732963564,101.91907067298888,1.1903380155563354,0.2911500930786133,-1.060049057006836
0.2200191370000084,-32.29551562368718,-15.165418370898742,101.44526594015413,0.22016989300004752,-34.00938453674316,-15.899845385551455,101.86547656059264,1.1909911632537842,1.1949249505996704,-0.6898270845413208
