timestamp_request,FRshoulder_request,FRarm_request,FRfoot_request,timestamp_measured,FRshoulder_measured,FRarm_measured,FRfoot_measured,FRshoulder_current,FRarm_current,FRfoot_current
0.010004677999859268,-36.07600441114358,-14.103862285614854,105.6261973079098,0.015692355999817664,-36.25750961303711,-14.174844050407414,105.70485253334044,-0.39760148525238037,-0.07976183295249939,0.015461742877960205
0.020004298999992898,-35.89479566877495,-14.033019781576224,105.54770893868256,0.025537255000017467,-36.25750961303711,-14.174844050407414,105.70485253334044,-0.08401289582252502,0.004639036953449249,-0.008188962936401367
0.030005393000010372,-35.71348422701233,-13.962142116836509,105.46918035718252,0.03041467899993222,-36.25750961303711,-14.174844050407414,105.70485253334044,0.11806997656822205,0.4457070231437683,-0.2302481085062027
0.040006197999900905,-35.53218846662167,-13.891262191210517,105.3906507784224,0.036617470000010144,-36.23501005172729,-14.174844050407414,105.68719525337218,-0.07441842555999756,0.31249988079071045,-0.29789894819259644
0.05000729199991838,-35.3508787652176,-13.820379310128567,105.31211717136914,0.05040499400001863,-36.229073429107665,-14.170466685295109,105.64750809669493,0.6796469688415527,0.17288076877593994,-0.47625723481178284
0.060008704999972906,-35.16957836386533,-13.749502332869575,105.23359035666417,0.06040013500000896,-36.170479679107665,-14.15281417369843,105.6148519039154,0.5323976874351501,0.42999687790870667,-0.5726982951164246
0.07000954199997977,-34.98827506190998,-13.678623314432068,105.15506153173614,0.07546115299987832,-36.126884841918944,-14.135314249992375,105.54453988075255,0.8239836096763611,0.5563214421272278,-0.35696473717689514
0.08001092399990739,-34.806968261108985,-13.607741794135258,105.07652867851675,0.08544627799983573,-36.066884422302245,-14.124842905998234,105.45781989097594,1.1289844512939453,1.1904189586639404,-0.22470541298389435
0.09001240099996721,-34.62564929591025,-13.536855744975325,104.99799281781598,0.0954363949999788,-35.970634841918944,-14.104844355583195,105.35141367912291,1.0826988220214844,0.9566876292228699,-0.0657530426979065
0.10001320699984717,-34.44435409751329,-13.46597989461741,104.91946725164608,0.10541486399984024,-35.86907329559326,-14.072500491142277,105.2982892513275,0.625553548336029,0.6012570858001709,-0.7242625951766968
