time_s,kalman_orientation_error_deg,madgwick_orientation_error_deg
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.0,132.98653330832164,178.90845704019682
0.009102821350097656,132.98187996669694,178.90294510786143
0.009102821350097656,132.98187996669694,178.90294510786143
0.009102821350097656,132.98187996669694,178.90294510786143
0.009102821350097656,132.98187996669694,178.93380225690532
0.009102821350097656,132.98282435987673,178.93380225690532
0.019078969955444336,132.98811455469,178.94119962931356
0.019078969955444336,132.98811455469,178.94119962931356
0.019078969955444336,132.98811455469,178.94119962931356
0.019078969955444336,132.98811455469,178.94119962931356
0.03304290771484375,132.98429055464058,178.93546150671787
0.03382396697998047,132.9855479804936,178.9378971811906
0.03382396697998047,132.9855479804936,178.9378971811906
0.03382396697998047,132.9855479804936,178.9378971811906
0.03382396697998047,132.9815264816672,178.9378971811906
0.03382396697998047,132.9815264816672,178.9317365511353
0.03382396697998047,132.9815264816672,178.9317365511353
0.041661977767944336,132.9790215354141,178.92796731460012
0.041661977767944336,132.9790215354141,178.92796731460012
0.041661977767944336,132.9790215354141,178.92796731460012
0.05373096466064453,132.98364263245924,178.93410492535193
0.05373096466064453,132.98364263245924,178.90314211121893
0.05373096466064453,132.9833810128601,178.90314211121893
0.05373096466064453,132.9833810128601,178.90314211121893
0.05373096466064453,132.9833810128601,178.90314211121893
0.06355690956115723,132.9864456634236,178.9091180152038
0.06355690956115723,132.9864456634236,178.9091180152038
0.066436767578125,132.98154167968207,178.89882806869758
0.066436767578125,132.98154167968207,178.89882806869758
0.066436767578125,132.98154167968207,178.89882806869758
0.066436767578125,132.98154167968207,178.93692873684566
0.066436767578125,132.9818737172704,178.93692873684566
0.07728791236877441,132.97926109487642,178.93280422987914
0.07728791236877441,132.97926109487642,178.93280422987914
0.07728791236877441,132.97926109487642,178.93280422987914
0.08653688430786133,132.98244542507211,178.93979297574884
0.08653688430786133,132.98244542507211,178.93979297574884
0.08653688430786133,132.98244542507211,178.93979297574884
0.08653688430786133,132.98244542507211,178.90243069929883
0.08653688430786133,132.98176740625973,178.90243069929883
0.09610795974731445,132.97889361400613,178.89860791849813
0.09610795974731445,132.97889361400613,178.89860791849813
0.09610795974731445,132.97889361400613,178.89860791849813
0.10407185554504395,132.98023566995903,178.89936967965093
0.10407185554504395,132.98023566995903,178.89936967965093
0.10838079452514648,132.98247272431257,178.90393414358587
0.10838079452514648,132.98247272431257,178.90393414358587
0.10838079452514648,132.98247272431257,178.90393414358587
0.10838079452514648,132.98247272431257,178.92748799864307
0.10838079452514648,132.97953998584345,178.92748799864307
0.10838079452514648,132.97953998584345,178.92748799864307
0.12067794799804688,132.95059003104006,178.89003615701426
0.12067794799804688,132.95059003104006,178.89003615701426
0.12862586975097656,132.9772506393682,178.92227442032097
0.12862586975097656,132.9772506393682,178.92227442032097
0.12862586975097656,132.9772506393682,178.92227442032097
0.12862586975097656,132.9772506393682,178.90193126906323
0.12862586975097656,132.97572004365884,178.90193126906323
0.1391468048095703,132.97255155502305,178.89898543754498
0.1391468048095703,132.97255155502305,178.89898543754498
0.1391468048095703,132.97255155502305,178.89898543754498
0.14605093002319336,132.9751388800956,178.9015730396597
0.14605093002319336,132.9751388800956,178.9015730396597
0.14605093002319336,132.9751388800956,178.9015730396597
0.15306878089904785,132.9741839773591,178.90135602105886
0.15306878089904785,132.9741839773591,178.90135602105886
0.15306878089904785,132.9758377850021,178.90135602105886
0.15306878089904785,132.9758377850021,178.93465075581943
0.15306878089904785,132.9758377850021,178.93465075581943
0.16104388236999512,132.97825592422876,178.9374701556116
0.16104388236999512,132.97825592422876,178.9374701556116
0.16739892959594727,132.97624452359472,178.93519130557112
0.16739892959594727,132.97624452359472,178.93519130557112
0.16739892959594727,132.97624452359472,178.93519130557112
0.16739892959594727,132.97624452359472,178.8993962029045
0.16739892959594727,132.97674512668792,178.8993962029045
0.17900586128234863,132.9814995152056,178.90582667187425
0.17900586128234863,132.9814995152056,178.90582667187425
0.17900586128234863,132.9814995152056,178.90582667187425
0.18910980224609375,132.9831805795189,178.9094661389477
0.18910980224609375,132.9831805795189,178.9094661389477
