timestamp,gravity_x,gravity_y,gravity_z,qw,qx,qy,qz
1786467201.272472,1.077964,0.400242,-9.742376,-0.348067,-0.044458,-0.038342,0.935630
1786467201.272605,1.078429,0.400430,-9.742317,-0.348079,-0.044477,-0.038360,0.935624
1786467201.288018,1.078055,0.398706,-9.742429,-0.348095,-0.044489,-0.038272,0.935620
1786467201.298393,1.078090,0.400728,-9.742343,-0.348059,-0.044456,-0.038367,0.935632
1786467201.306240,1.077724,0.398667,-9.742468,-0.348103,-0.044473,-0.038264,0.935619
1786467201.309169,1.078621,0.399821,-9.742321,-0.348071,-0.044497,-0.038334,0.935627
1786467201.324998,1.077858,0.397990,-9.742480,-0.348099,-0.044492,-0.038234,0.935621
1786467201.325130,1.078624,0.399669,-9.742327,-0.348070,-0.044500,-0.038327,0.935627
1786467201.347604,1.078365,0.399602,-9.742358,-0.348060,-0.044489,-0.038318,0.935632
1786467201.347742,1.078298,0.400103,-9.742345,-0.348071,-0.044477,-0.038342,0.935627
1786467201.349381,1.078608,0.399459,-9.742337,-0.348058,-0.044503,-0.038316,0.935632
1786467201.366078,1.078247,0.400403,-9.742339,-0.348070,-0.044469,-0.038355,0.935628
1786467201.371887,1.078429,0.399905,-9.742339,-0.348054,-0.044487,-0.038334,0.935633
1786467201.374979,1.078390,0.398151,-9.742415,-0.348086,-0.044515,-0.038251,0.935624
1786467201.384994,1.077971,0.398193,-9.742460,-0.348091,-0.044494,-0.038245,0.935623
1786467201.398963,1.077889,0.399108,-9.742431,-0.348098,-0.044474,-0.038288,0.935619
1786467201.401818,1.077784,0.399116,-9.742443,-0.348080,-0.044469,-0.038286,0.935627
1786467201.420964,1.077316,0.399555,-9.742476,-0.348101,-0.044438,-0.038299,0.935620
1786467201.421099,1.078584,0.400012,-9.742317,-0.348073,-0.044492,-0.038343,0.935626
1786467201.425137,1.078281,0.400330,-9.742338,-0.348053,-0.044472,-0.038351,0.935634
1786467201.437670,1.078236,0.400432,-9.742339,-0.348065,-0.044468,-0.038356,0.935629
1786467201.445270,1.077745,0.398243,-9.742483,-0.348088,-0.044482,-0.038244,0.935625
1786467201.457490,1.077971,0.400983,-9.742345,-0.348078,-0.044445,-0.038378,0.935625
1786467201.461137,1.078305,0.400452,-9.742330,-0.348068,-0.044471,-0.038358,0.935628
1786467201.472184,1.077484,0.399326,-9.742467,-0.348108,-0.044450,-0.038292,0.935617
1786467201.475070,1.077647,0.398946,-9.742465,-0.348095,-0.044465,-0.038276,0.935622
1786467201.491240,1.077709,0.398757,-9.742466,-0.348090,-0.044471,-0.038268,0.935623
1786467201.491348,1.077796,0.399358,-9.742431,-0.348098,-0.044465,-0.038298,0.935619
1786467201.502915,1.077999,0.398837,-9.742430,-0.348092,-0.044484,-0.038277,0.935622
1786467201.508536,1.077403,0.399722,-9.742460,-0.348080,-0.044440,-0.038308,0.935627
1786467201.519664,1.077855,0.400688,-9.742370,-0.348058,-0.044445,-0.038361,0.935633
1786467201.534871,1.077812,0.399213,-9.742436,-0.348101,-0.044468,-0.038292,0.935619
1786467201.535029,1.077758,0.398858,-9.742456,-0.348096,-0.044472,-0.038274,0.935621
1786467201.543952,1.077636,0.398977,-9.742465,-0.348092,-0.044464,-0.038277,0.935623
1786467201.552684,1.077529,0.399304,-9.742463,-0.348089,-0.044453,-0.038291,0.935624
1786467201.558005,1.077514,0.399148,-9.742471,-0.348099,-0.044455,-0.038283,0.935620
1786467201.572557,1.077757,0.398690,-9.742463,-0.348089,-0.044475,-0.038265,0.935624
1786467201.575118,1.077962,0.398805,-9.742436,-0.348097,-0.044482,-0.038275,0.935620
