time_start,or_x,or_y,or_z,or_w,av_x,av_y,av_z,la_x,la_y,la_z
1711477685.461773,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,0.0,-0.07
1711477685.4715855,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.11
1711477685.4819844,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.01,-0.08
1711477685.4915745,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,0.0,-0.09
1711477685.5016282,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.06
1711477685.5116274,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.01,-0.01,-0.07
1711477685.5218067,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.1
1711477685.5318897,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.06
1711477685.5417645,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.07
1711477685.5518043,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,-0.01,-0.07
1711477685.5619535,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.1
1711477685.571893,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,0.0,-0.08
1711477685.5822139,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.07
1711477685.5918744,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,-0.01,-0.1
1711477685.6019673,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,0.0,-0.06
1711477685.611968,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.08
1711477685.6220746,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.02,-0.01,-0.07
1711477685.6323376,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,0.0,-0.06
1711477685.6424787,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.1
1711477685.6523385,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,-0.01,0.01,-0.08
1711477685.6623547,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.09
1711477685.6723235,0.026244873253053205,-0.02069072565763962,0.0,0.9994413942296424,0.0,0.0,0.0,0.0,0.0,-0.07
